vehicle_id,vehicle_type,engine_type,vehicle_age
251,Bus,Diesel,0
252,Bus,Hybrid,1
253,Bus,Hybrid,11
254,Truck,Hybrid,5
255,Truck,Hybrid,11
256,Bus,Diesel,11
257,Car,Hybrid,13
258,Truck,Electric,9
259,Bus,Electric,14
260,Truck,Electric,12
261,Truck,Hybrid,7
262,Car,Electric,7
263,Bus,Diesel,5
264,Bus,Hybrid,1
265,Car,Hybrid,13
266,Car,Hybrid,8
267,Bus,Diesel,9
268,Bus,Hybrid,3
269,Car,Hybrid,12
270,Truck,Electric,4
271,Truck,Electric,0
272,Car,Hybrid,8
273,Truck,Diesel,10
274,Car,Electric,10
275,Truck,Hybrid,10
276,Truck,Electric,9
277,Bus,Electric,12
278,Bus,Diesel,0
279,Truck,Hybrid,6
280,Truck,Electric,10
281,Bus,Hybrid,8
282,Bus,Diesel,2
283,Bus,Diesel,1
284,Car,Electric,13
285,Truck,Diesel,9
286,Bus,Electric,7
287,Truck,Hybrid,3
288,Car,Electric,0
289,Car,Electric,7
290,Bus,Diesel,14
291,Car,Hybrid,5
292,Truck,Hybrid,5
293,Bus,Electric,3
294,Truck,Hybrid,5
295,Truck,Hybrid,1
296,Car,Electric,5
297,Car,Electric,14
298,Car,Hybrid,1
299,Car,Electric,5
300,Car,Diesel,13
301,Bus,Hybrid,8
302,Truck,Electric,6
303,Truck,Hybrid,11
304,Truck,Hybrid,13
305,Truck,Diesel,14
306,Car,Diesel,13
307,Truck,Hybrid,11
308,Bus,Diesel,3
309,Bus,Electric,0
310,Truck,Hybrid,8
311,Truck,Diesel,0
312,Bus,Hybrid,4
313,Bus,Hybrid,13
314,Car,Electric,6
315,Bus,Electric,9
316,Car,Electric,12
317,Car,Diesel,12
318,Car,Diesel,9
319,Car,Diesel,5
320,Car,Electric,2
321,Truck,Hybrid,10
322,Bus,Electric,7
323,Car,Diesel,10
324,Bus,Diesel,6
325,Bus,Diesel,8
326,Car,Electric,0
327,Truck,Diesel,7
328,Car,Electric,3
329,Truck,Hybrid,6
330,Bus,Electric,6
331,Truck,Diesel,3
332,Truck,Hybrid,7
333,Truck,Diesel,12
334,Bus,Hybrid,11
335,Bus,Diesel,0
336,Truck,Electric,4
337,Truck,Diesel,3
338,Car,Electric,3
339,Truck,Electric,14
340,Car,Hybrid,2
341,Truck,Electric,0
342,Car,Electric,4
343,Bus,Electric,7
344,Truck,Hybrid,9
345,Truck,Diesel,5
346,Truck,Diesel,11
347,Truck,Electric,0
348,Car,Electric,4
349,Truck,Diesel,5
350,Bus,Electric,14
351,Bus,Diesel,8
352,Truck,Hybrid,8
353,Bus,Electric,4
354,Truck,Electric,2
355,Truck,Diesel,5
356,Bus,Diesel,10
357,Truck,Hybrid,7
358,Bus,Electric,11
359,Car,Diesel,10
360,Truck,Hybrid,11
361,Car,Diesel,11
362,Bus,Diesel,4
363,Car,Hybrid,7
364,Car,Hybrid,0
365,Bus,Hybrid,7
366,Car,Hybrid,1
367,Car,Hybrid,6
368,Bus,Hybrid,1
369,Car,Electric,2
370,Bus,Hybrid,4
371,Car,Electric,9
372,Bus,Diesel,6
373,Bus,Diesel,8
374,Car,Hybrid,11
375,Car,Diesel,11
376,Car,Hybrid,4
377,Truck,Hybrid,10
378,Truck,Electric,0
379,Truck,Diesel,14
380,Bus,Hybrid,10
381,Car,Diesel,14
382,Bus,Electric,2
383,Truck,Diesel,4
384,Car,Electric,11
385,Bus,Electric,2
386,Car,Electric,7
387,Bus,Hybrid,7
388,Car,Hybrid,14
389,Truck,Diesel,10
390,Truck,Hybrid,0
391,Car,Hybrid,7
392,Bus,Diesel,13
393,Truck,Electric,3
394,Truck,Electric,10
395,Truck,Diesel,5
396,Car,Hybrid,9
397,Car,Diesel,14
398,Bus,Diesel,7
399,Bus,Hybrid,13
400,Bus,Diesel,1
401,Car,Hybrid,7
402,Car,Hybrid,6
403,Bus,Diesel,3
404,Bus,Electric,11
405,Car,Hybrid,4
406,Bus,Electric,5
407,Truck,Hybrid,14
408,Car,Electric,2
409,Bus,Diesel,1
410,Car,Hybrid,13
411,Truck,Diesel,1
412,Car,Diesel,14
413,Car,Diesel,3
414,Car,Hybrid,6
415,Car,Diesel,11
416,Truck,Diesel,0
417,Car,Hybrid,0
418,Car,Diesel,14
419,Bus,Hybrid,3
420,Car,Diesel,8
421,Bus,Electric,11
422,Truck,Diesel,13
423,Truck,Electric,11
424,Truck,Hybrid,4
425,Truck,Electric,0
426,Bus,Hybrid,2
427,Car,Diesel,10
428,Truck,Electric,5
429,Car,Diesel,12
430,Bus,Electric,14
431,Bus,Hybrid,2
432,Bus,Hybrid,10
433,Truck,Hybrid,5
434,Car,Hybrid,5
435,Car,Diesel,4
436,Car,Diesel,9
437,Bus,Diesel,12
438,Truck,Diesel,4
439,Bus,Diesel,8
440,Bus,Hybrid,2
441,Car,Diesel,14
442,Bus,Diesel,10
443,Car,Diesel,9
444,Truck,Hybrid,6
445,Car,Hybrid,12
446,Truck,Hybrid,3
447,Car,Hybrid,1
448,Bus,Diesel,9
449,Bus,Diesel,2
450,Truck,Electric,2
451,Truck,Diesel,2
452,Truck,Hybrid,2
453,Car,Hybrid,9
454,Car,Diesel,5
455,Truck,Electric,12
456,Bus,Hybrid,13
457,Car,Electric,5
458,Car,Hybrid,10
459,Car,Hybrid,8
460,Truck,Diesel,7
461,Truck,Hybrid,9
462,Truck,Electric,6
463,Truck,Electric,14
464,Truck,Diesel,11
465,Bus,Hybrid,11
466,Bus,Electric,12
467,Truck,Diesel,1
468,Car,Electric,9
469,Truck,Diesel,1
470,Bus,Electric,13
471,Bus,Hybrid,0
472,Car,Electric,6
473,Bus,Electric,6
474,Truck,Diesel,0
475,Car,Diesel,5
476,Truck,Diesel,10
477,Truck,Electric,13
478,Car,Diesel,11
479,Truck,Hybrid,6
480,Bus,Diesel,13
481,Truck,Diesel,0
482,Car,Hybrid,11
483,Car,Diesel,5
484,Car,Diesel,9
485,Truck,Electric,8
486,Car,Electric,11
487,Car,Diesel,0
488,Truck,Hybrid,1
489,Bus,Diesel,1
490,Truck,Diesel,9
491,Car,Diesel,2
492,Car,Electric,13
493,Truck,Hybrid,3
494,Bus,Hybrid,6
495,Car,Hybrid,2
496,Car,Electric,6
497,Car,Electric,4
498,Truck,Diesel,4
499,Car,Electric,6
500,Bus,Diesel,6
501,Car,Electric,6
502,Car,Diesel,8
503,Bus,Electric,0
504,Car,Hybrid,0
505,Truck,Diesel,14
506,Truck,Electric,2
507,Truck,Electric,5
508,Bus,Diesel,1
509,Car,Electric,8
510,Truck,Hybrid,0
511,Bus,Diesel,13
512,Car,Diesel,4
513,Bus,Diesel,6
514,Truck,Diesel,9
515,Truck,Diesel,2
516,Truck,Hybrid,13
517,Bus,Diesel,1
518,Bus,Hybrid,12
519,Truck,Hybrid,2
520,Bus,Hybrid,14
521,Truck,Diesel,11
522,Truck,Hybrid,6
523,Car,Diesel,14
524,Bus,Hybrid,0
525,Truck,Diesel,7
526,Truck,Electric,2
527,Bus,Electric,4
528,Car,Hybrid,9
529,Car,Electric,10
530,Truck,Hybrid,4
531,Bus,Hybrid,5
532,Car,Hybrid,6
533,Bus,Electric,10
534,Bus,Hybrid,0
535,Truck,Electric,5
536,Car,Electric,1
537,Truck,Diesel,13
538,Car,Electric,9
539,Car,Diesel,2
540,Car,Hybrid,13
541,Car,Hybrid,4
542,Car,Diesel,0
543,Bus,Hybrid,6
544,Truck,Diesel,0
545,Bus,Diesel,7
546,Car,Hybrid,10
547,Truck,Diesel,11
548,Car,Diesel,5
549,Truck,Diesel,10
550,Bus,Hybrid,13
551,Truck,Hybrid,0
552,Truck,Hybrid,14
553,Truck,Hybrid,13
554,Truck,Hybrid,6
555,Truck,Electric,9
556,Car,Electric,2
557,Truck,Diesel,6
558,Truck,Electric,14
559,Bus,Hybrid,10
560,Truck,Hybrid,7
561,Bus,Hybrid,9
562,Car,Diesel,13
563,Truck,Diesel,14
564,Bus,Diesel,2
565,Bus,Diesel,4
566,Car,Diesel,9
567,Truck,Diesel,1
568,Truck,Electric,13
569,Bus,Hybrid,1
570,Truck,Electric,0
571,Bus,Diesel,2
572,Truck,Hybrid,3
573,Bus,Hybrid,2
574,Truck,Hybrid,10
575,Car,Electric,7
576,Truck,Hybrid,0
577,Truck,Diesel,4
578,Car,Diesel,6
579,Truck,Electric,12
580,Car,Electric,8
581,Truck,Diesel,0
582,Bus,Electric,8
583,Bus,Hybrid,10
584,Truck,Electric,8
585,Truck,Hybrid,3
586,Truck,Hybrid,14
587,Bus,Hybrid,9
588,Truck,Hybrid,4
589,Bus,Hybrid,5
590,Car,Diesel,3
591,Bus,Diesel,5
592,Bus,Diesel,4
593,Car,Hybrid,14
594,Bus,Electric,2
595,Truck,Electric,2
596,Truck,Hybrid,8
597,Bus,Electric,4
598,Truck,Hybrid,10
599,Bus,Electric,2
600,Truck,Hybrid,7
601,Truck,Electric,7
602,Bus,Electric,13
603,Truck,Diesel,13
604,Bus,Electric,12
605,Truck,Electric,2
606,Truck,Hybrid,6
607,Car,Electric,8
608,Car,Electric,2
609,Bus,Electric,7
610,Car,Electric,11
611,Bus,Electric,11
612,Car,Diesel,0
613,Truck,Electric,11
614,Bus,Hybrid,13
615,Bus,Hybrid,2
616,Truck,Electric,11
617,Bus,Electric,3
618,Bus,Electric,2
619,Car,Diesel,12
620,Bus,Hybrid,8
621,Truck,Diesel,12
622,Car,Diesel,12
623,Car,Electric,11
624,Truck,Electric,9
625,Truck,Hybrid,4
626,Car,Electric,14
627,Bus,Hybrid,2
628,Car,Diesel,2
629,Truck,Hybrid,10
630,Car,Hybrid,1
631,Truck,Hybrid,9
632,Car,Diesel,5
633,Bus,Diesel,8
634,Car,Electric,6
635,Car,Electric,14
636,Truck,Hybrid,1
637,Truck,Hybrid,8
638,Truck,Diesel,13
639,Car,Diesel,2
640,Bus,Diesel,6
641,Truck,Hybrid,9
642,Truck,Hybrid,6
643,Car,Diesel,3
644,Truck,Hybrid,13
645,Bus,Diesel,3
646,Bus,Electric,11
647,Truck,Diesel,1
648,Truck,Hybrid,1
649,Car,Hybrid,1
650,Bus,Hybrid,11
651,Bus,Hybrid,10
652,Truck,Diesel,4
653,Car,Diesel,2
654,Bus,Electric,9
655,Bus,Diesel,6
656,Car,Electric,12
657,Car,Diesel,6
658,Bus,Diesel,5
659,Bus,Hybrid,12
660,Car,Electric,7
661,Bus,Hybrid,10
662,Truck,Hybrid,3
663,Truck,Diesel,8
664,Car,Diesel,11
665,Car,Electric,11
666,Car,Electric,14
667,Truck,Diesel,12
668,Bus,Electric,9
669,Truck,Diesel,9
670,Bus,Diesel,4
671,Truck,Diesel,3
672,Bus,Electric,2
673,Truck,Hybrid,13
674,Car,Electric,14
675,Truck,Hybrid,8
676,Bus,Electric,11
677,Truck,Hybrid,14
678,Truck,Hybrid,3
679,Truck,Electric,8
680,Car,Electric,10
681,Truck,Hybrid,0
682,Car,Diesel,4
683,Car,Hybrid,0
684,Truck,Hybrid,8
685,Truck,Diesel,11
686,Truck,Hybrid,6
687,Bus,Diesel,11
688,Truck,Diesel,9
689,Car,Electric,8
690,Truck,Hybrid,4
691,Bus,Hybrid,9
692,Truck,Diesel,13
693,Bus,Hybrid,8
694,Bus,Diesel,3
695,Truck,Hybrid,12
696,Car,Hybrid,2
697,Bus,Diesel,1
698,Truck,Diesel,3
699,Truck,Hybrid,2
700,Car,Hybrid,8
701,Bus,Diesel,12
702,Bus,Electric,11
703,Truck,Electric,11
704,Truck,Hybrid,12
705,Car,Hybrid,11
706,Car,Hybrid,7
707,Bus,Diesel,11
708,Bus,Hybrid,0
709,Truck,Hybrid,1
710,Bus,Hybrid,2
711,Car,Electric,5
712,Car,Hybrid,4
713,Truck,Hybrid,10
714,Car,Diesel,4
715,Car,Electric,5
716,Car,Diesel,12
717,Car,Hybrid,11
718,Truck,Hybrid,13
719,Truck,Hybrid,7
720,Bus,Hybrid,13
721,Car,Hybrid,0
722,Bus,Diesel,4
723,Truck,Hybrid,5
724,Truck,Hybrid,10
725,Truck,Electric,9
726,Truck,Electric,10
727,Truck,Hybrid,5
728,Truck,Hybrid,8
729,Truck,Hybrid,9
730,Car,Hybrid,6
731,Bus,Hybrid,3
732,Truck,Hybrid,6
733,Car,Diesel,6
734,Car,Diesel,10
735,Bus,Diesel,10
736,Truck,Electric,5
737,Bus,Hybrid,7
738,Truck,Electric,7
739,Car,Electric,12
740,Car,Electric,12
741,Car,Diesel,9
742,Car,Hybrid,11
743,Bus,Hybrid,12
744,Truck,Electric,5
745,Truck,Diesel,10
746,Bus,Electric,1
747,Truck,Electric,4
748,Car,Hybrid,12
749,Truck,Diesel,0
750,Car,Hybrid,9
751,Bus,Electric,9
752,Truck,Hybrid,13
753,Bus,Electric,11
754,Truck,Diesel,12
755,Car,Hybrid,9
756,Bus,Hybrid,13
757,Truck,Hybrid,11
758,Car,Hybrid,12
759,Bus,Hybrid,14
760,Bus,Diesel,10
761,Truck,Diesel,8
762,Truck,Hybrid,3
763,Truck,Electric,0
764,Car,Electric,2
765,Truck,Hybrid,9
766,Bus,Hybrid,12
767,Bus,Diesel,14
768,Truck,Diesel,1
769,Truck,Hybrid,8
770,Bus,Hybrid,6
771,Car,Electric,9
772,Truck,Diesel,9
773,Truck,Hybrid,11
774,Bus,Diesel,14
775,Truck,Hybrid,5
776,Car,Hybrid,3
777,Bus,Hybrid,10
778,Truck,Hybrid,3
779,Bus,Electric,11
780,Truck,Hybrid,11
781,Truck,Electric,6
782,Truck,Electric,7
783,Car,Hybrid,3
784,Car,Diesel,13
785,Bus,Diesel,6
786,Truck,Hybrid,2
787,Truck,Hybrid,11
788,Car,Hybrid,11
789,Truck,Diesel,8
790,Car,Diesel,11
791,Truck,Hybrid,2
792,Bus,Diesel,13
793,Truck,Electric,2
794,Truck,Diesel,9
795,Car,Diesel,11
796,Truck,Hybrid,12
797,Truck,Electric,1
798,Car,Hybrid,2
799,Bus,Diesel,7
800,Bus,Electric,1
801,Car,Hybrid,12
802,Car,Diesel,0
803,Car,Electric,4
804,Car,Hybrid,7
805,Car,Electric,5
806,Bus,Diesel,13
807,Bus,Hybrid,1
808,Car,Diesel,11
809,Truck,Electric,8
810,Car,Diesel,13
811,Truck,Electric,12
812,Car,Hybrid,3
813,Car,Diesel,12
814,Bus,Hybrid,2
815,Truck,Hybrid,3
816,Truck,Hybrid,2
817,Bus,Hybrid,7
818,Bus,Diesel,0
819,Bus,Diesel,0
820,Bus,Hybrid,8
821,Truck,Hybrid,6
822,Truck,Electric,8
823,Car,Hybrid,2
824,Car,Electric,2
825,Bus,Electric,13
826,Bus,Hybrid,1
827,Bus,Diesel,1
828,Car,Electric,10
829,Car,Diesel,8
830,Car,Hybrid,1
831,Car,Hybrid,3
832,Car,Hybrid,10
833,Car,Hybrid,3
834,Car,Electric,8
835,Bus,Electric,13
836,Bus,Diesel,2
837,Bus,Diesel,9
838,Bus,Electric,13
839,Car,Hybrid,14
840,Truck,Diesel,1
841,Car,Electric,11
842,Truck,Diesel,14
843,Bus,Electric,2
844,Car,Hybrid,13
845,Bus,Electric,8
846,Car,Diesel,4
847,Bus,Electric,4
848,Truck,Diesel,6
849,Truck,Diesel,13
850,Truck,Diesel,0
851,Car,Hybrid,9
852,Truck,Hybrid,4
853,Car,Electric,8
854,Truck,Electric,13
855,Truck,Diesel,13
856,Car,Hybrid,5
857,Car,Electric,11
858,Truck,Electric,7
859,Car,Hybrid,9
860,Truck,Diesel,7
861,Car,Electric,0
862,Bus,Diesel,7
863,Bus,Hybrid,5
864,Bus,Hybrid,3
865,Bus,Electric,2
866,Bus,Electric,4
867,Truck,Hybrid,14
868,Bus,Diesel,12
869,Bus,Diesel,4
870,Bus,Hybrid,6
871,Bus,Electric,8
872,Car,Hybrid,10
873,Truck,Electric,0
874,Bus,Diesel,13
875,Bus,Electric,8
876,Bus,Diesel,2
877,Truck,Hybrid,5
878,Car,Electric,5
879,Truck,Diesel,3
880,Car,Electric,13
881,Bus,Diesel,1
882,Bus,Diesel,4
883,Truck,Hybrid,2
884,Truck,Hybrid,3
885,Car,Electric,5
886,Car,Diesel,10
887,Truck,Hybrid,6
888,Car,Electric,1
889,Truck,Hybrid,10
890,Car,Electric,14
891,Truck,Hybrid,2
892,Truck,Hybrid,11
893,Truck,Diesel,6
894,Car,Diesel,12
895,Car,Hybrid,4
896,Car,Diesel,3
897,Truck,Hybrid,3
898,Car,Electric,8
899,Car,Hybrid,14
900,Truck,Hybrid,8
901,Bus,Electric,9
902,Truck,Electric,6
903,Car,Diesel,0
904,Truck,Electric,0
905,Bus,Diesel,2
906,Truck,Hybrid,2
907,Car,Electric,6
908,Bus,Hybrid,11
909,Car,Diesel,13
910,Bus,Electric,12
911,Bus,Diesel,1
912,Truck,Diesel,7
913,Truck,Electric,0
914,Car,Electric,10
915,Truck,Diesel,12
916,Truck,Electric,14
917,Bus,Diesel,7
918,Truck,Hybrid,8
919,Bus,Hybrid,13
920,Bus,Electric,4
921,Bus,Electric,10
922,Car,Hybrid,3
923,Car,Diesel,5
924,Car,Diesel,5
925,Bus,Diesel,7
926,Car,Electric,7
927,Car,Diesel,0
928,Truck,Electric,8
929,Car,Electric,9
930,Car,Electric,0
931,Bus,Hybrid,2
932,Bus,Diesel,6
933,Bus,Electric,4
934,Bus,Diesel,5
935,Bus,Hybrid,12
936,Bus,Diesel,7
937,Car,Hybrid,3
938,Bus,Electric,13
939,Bus,Electric,13
940,Truck,Hybrid,3
941,Car,Electric,7
942,Car,Diesel,2
943,Car,Diesel,12
944,Bus,Hybrid,5
945,Bus,Diesel,3
946,Bus,Electric,5
947,Truck,Electric,3
948,Bus,Electric,1
949,Truck,Diesel,9
950,Car,Electric,14
951,Bus,Diesel,10
952,Truck,Hybrid,10
953,Truck,Electric,2
954,Bus,Hybrid,10
955,Car,Diesel,7
956,Car,Diesel,12
957,Car,Hybrid,0
958,Truck,Electric,10
959,Truck,Electric,9
960,Truck,Electric,5
961,Truck,Hybrid,8
962,Car,Diesel,0
963,Bus,Hybrid,12
964,Truck,Diesel,3
965,Truck,Electric,6
966,Car,Electric,5
967,Bus,Diesel,5
968,Bus,Electric,8
969,Car,Hybrid,7
970,Car,Diesel,12
971,Bus,Electric,12
972,Truck,Electric,4
973,Bus,Electric,10
974,Car,Electric,13
975,Truck,Diesel,11
976,Truck,Diesel,10
977,Car,Electric,1
978,Car,Hybrid,11
979,Car,Hybrid,2
980,Bus,Hybrid,11
981,Bus,Hybrid,9
982,Truck,Diesel,2
983,Car,Diesel,3
984,Truck,Hybrid,1
985,Truck,Diesel,7
986,Truck,Hybrid,14
987,Truck,Electric,7
988,Car,Electric,13
989,Truck,Hybrid,12
990,Car,Diesel,11
991,Car,Hybrid,7
992,Bus,Diesel,9
993,Car,Electric,13
994,Bus,Diesel,14
995,Car,Hybrid,4
996,Car,Electric,14
997,Car,Electric,9
998,Bus,Diesel,5
999,Bus,Electric,13
1000,Truck,Electric,5
1001,Bus,Diesel,6
1002,Bus,Electric,0
1003,Bus,Hybrid,9
1004,Bus,Diesel,2
1005,Truck,Diesel,10
1006,Bus,Diesel,2
1007,Car,Diesel,10
1008,Car,Hybrid,6
1009,Bus,Diesel,13
1010,Bus,Hybrid,5
1011,Car,Diesel,8
1012,Car,Diesel,8
1013,Truck,Electric,8
1014,Car,Electric,12
1015,Car,Hybrid,3
1016,Bus,Electric,14
1017,Car,Diesel,2
1018,Truck,Hybrid,14
1019,Car,Electric,3
1020,Bus,Diesel,2
1021,Bus,Electric,6
1022,Car,Electric,10
1023,Bus,Electric,2
1024,Truck,Electric,14
1025,Truck,Diesel,0
1026,Car,Electric,7
1027,Car,Hybrid,5
1028,Car,Hybrid,4
1029,Bus,Electric,7
1030,Truck,Hybrid,10
1031,Truck,Electric,7
1032,Bus,Diesel,2
1033,Truck,Diesel,2
1034,Car,Hybrid,9
1035,Car,Hybrid,6
1036,Car,Electric,2
1037,Truck,Electric,8
1038,Car,Electric,7
1039,Bus,Diesel,7
1040,Bus,Electric,8
1041,Truck,Diesel,7
1042,Bus,Hybrid,3
1043,Bus,Diesel,6
1044,Truck,Hybrid,13
1045,Car,Diesel,5
1046,Car,Diesel,0
1047,Car,Electric,11
1048,Truck,Hybrid,4
1049,Bus,Diesel,1
1050,Car,Diesel,8
1051,Car,Hybrid,14
1052,Truck,Diesel,10
1053,Car,Hybrid,14
1054,Truck,Hybrid,14
1055,Bus,Hybrid,12
1056,Truck,Diesel,2
1057,Truck,Diesel,11
1058,Truck,Electric,14
1059,Truck,Hybrid,14
1060,Bus,Diesel,11
1061,Bus,Diesel,6
1062,Car,Hybrid,1
1063,Bus,Hybrid,6
1064,Bus,Hybrid,12
1065,Car,Electric,3
1066,Bus,Electric,10
1067,Truck,Electric,5
1068,Truck,Hybrid,14
1069,Car,Diesel,8
1070,Car,Hybrid,7
1071,Car,Diesel,8
1072,Truck,Electric,13
1073,Bus,Electric,4
1074,Truck,Electric,4
1075,Car,Diesel,3
1076,Bus,Diesel,8
1077,Bus,Hybrid,13
1078,Truck,Hybrid,9
1079,Car,Hybrid,7
1080,Truck,Electric,5
1081,Bus,Hybrid,9
1082,Truck,Electric,13
1083,Truck,Diesel,13
1084,Car,Electric,5
1085,Car,Electric,5
1086,Bus,Electric,5
1087,Truck,Diesel,6
1088,Truck,Diesel,5
1089,Truck,Hybrid,7
1090,Bus,Hybrid,6
