hr_event_id,region_id,required_technicians,availability_rate
111,22119,9,0.09
112,21456,16,0.7
113,32614,18,0.32
114,28913,5,0.16
115,16042,15,0.56
116,32927,5,0.09
117,5894,11,0.5
118,27348,9,0.94
119,34165,10,0.48
120,23589,1,0.86
121,17646,13,0.69
122,17579,16,0.3
123,33507,17,0.19
124,1220,15,0.26
125,21257,18,0.2
126,23953,10,0.91
127,33941,16,0.22
128,7610,17,0.26
129,11037,9,0.01
130,13236,17,0.09
131,11679,12,0.56
132,10172,2,0.89
133,18384,13,0.64
134,16159,17,0.38
135,29230,15,0.54
136,10880,8,0.21
137,2957,14,0.78
138,31589,12,0.49
139,2855,10,0.26
140,19161,5,0.47
141,8563,2,0.88
142,8168,19,0.22
143,34305,6,0.96
144,15993,13,0.73
145,17036,4,0.32
146,22450,8,0.69
147,11267,6,0.41
148,5308,8,0.26
149,27680,10,0.18
150,1515,15,0.61
151,3028,11,0.14
152,32510,9,0.18
153,21160,9,0.69
154,30335,13,0.59
155,34954,19,0.86
156,31781,6,0.14
157,18983,19,0.89
158,7646,5,0.84
159,8321,7,0.66
160,10803,14,0.44
161,28824,6,0.11
162,22169,18,0.51
163,30785,14,0.84
164,20011,7,0.94
165,32384,17,0.56
166,29719,9,0.24
167,918,17,0.61
168,28730,11,0.72
169,29671,12,0.74
170,3968,13,0.3
171,26561,4,0.13
172,299,3,0.25
173,29249,2,0.78
174,1146,18,0.36
175,2132,10,0.82
176,3730,4,0.75
177,25552,4,0.15
178,1512,1,0.84
179,25374,12,0.65
180,3969,8,0.44
181,10301,16,0.48
182,12787,8,1.0
183,23066,14,0.18
184,18676,14,0.04
185,16623,14,0.47
186,9043,10,0.19
187,31396,3,0.33
188,22082,11,0.0
189,8030,4,0.47
190,26764,12,0.41
191,32560,16,0.75
192,33240,16,0.5
193,31792,9,0.06
194,14404,12,0.78
195,1584,16,0.61
196,34998,16,0.56
197,30620,2,0.3
198,16366,2,0.91
199,2263,7,0.09
200,18007,17,0.31
201,30178,12,0.03
202,22534,4,0.65
203,26254,19,0.92
204,3609,8,0.29
205,18882,4,0.38
206,15929,17,0.5
207,22949,18,0.94
208,11119,3,0.05
209,24424,4,0.24
210,32452,1,0.83
211,18885,13,0.5
212,29658,19,0.21
213,18873,14,0.58
214,17129,5,0.04
215,7025,2,0.75
216,2586,2,0.67
217,7725,1,0.43
218,33493,3,0.54
219,14559,4,0.39
220,17737,3,0.34
221,17261,16,0.98
222,18317,4,0.67
223,13491,1,0.4
224,27106,2,0.98
225,24757,15,0.36
226,30956,3,0.74
227,34883,19,0.22
228,25066,9,0.22
229,31830,19,0.88
230,19323,2,0.22
231,34414,19,0.64
232,20515,1,0.76
233,10939,13,0.9
234,17945,14,0.12
235,31538,11,0.4
236,10593,11,0.89
237,24083,18,0.63
238,22905,1,0.13
239,30426,9,0.53
240,8699,12,0.5
241,1372,11,0.68
242,16055,10,0.36
243,13923,13,0.29
244,7918,12,0.29
245,3971,11,0.45
246,2654,16,0.78
247,2103,19,0.79
248,31999,14,0.08
249,32253,16,0.58
250,17571,4,0.4
251,31085,15,0.04
252,24671,1,0.76
253,2105,2,0.48
254,32795,5,0.79
255,15067,18,0.93
256,18833,12,0.84
257,33846,1,0.58
258,11909,11,0.3
259,16156,6,0.05
260,15748,18,0.68
261,13013,16,0.97
262,21788,19,0.65
263,32548,14,0.05
264,23571,5,0.1
265,30570,2,0.37
266,898,2,0.52
267,20973,8,0.45
268,19847,11,0.01
269,13961,1,0.58
270,8150,9,0.36
271,7577,17,0.59
272,32048,3,0.97
273,32253,2,0.81
274,16603,16,0.57
275,4381,16,0.12
276,11891,13,0.78
277,1963,13,0.09
278,14886,15,0.71
279,2255,19,0.94
280,24278,12,0.58
281,12939,19,0.24
282,24003,3,0.42
283,8697,6,0.94
284,23329,3,0.6
285,34407,6,0.86
286,11637,6,0.59
287,29017,10,0.43
288,19713,15,0.76
289,26844,4,0.19
290,25674,10,0.47
291,22409,15,0.79
292,14498,11,0.35
293,33191,5,0.87
294,801,9,0.45
295,13348,9,0.74
296,32063,1,0.95
297,26606,14,0.7
298,12353,2,0.19
299,22464,6,0.93
300,13074,8,0.62
301,18053,12,0.26
302,24277,6,0.54
303,3571,10,0.78
304,32603,14,0.79
305,27728,4,0.39
306,14838,7,0.05
307,28983,2,0.89
308,9752,6,0.67
309,12191,9,0.41
310,374,1,0.69
311,32619,18,0.8
312,13218,19,0.91
313,26163,4,0.13
314,1856,16,0.83
315,1964,17,0.47
316,28619,12,0.22
317,13317,10,0.64
318,5175,3,0.3
319,24186,19,0.13
320,14620,3,0.2
321,3342,12,0.84
322,26197,12,0.29
323,25424,7,0.3
324,11612,8,0.77
325,17511,16,0.41
326,11675,14,0.95
327,11913,4,0.04
328,14409,10,0.91
329,14997,6,0.38
330,19511,18,0.78
331,4040,4,0.77
332,33428,18,0.91
333,4776,5,0.97
334,22650,17,0.64
335,1328,14,0.14
336,33341,8,0.65
337,5675,11,0.26
338,31800,18,0.05
339,11148,10,0.3
340,34,11,0.19
341,4247,12,0.48
342,23471,3,0.12
343,4541,12,0.25
344,15014,15,0.85
345,22674,13,0.84
346,17529,7,0.02
347,28023,14,0.1
348,20717,9,0.31
349,4233,5,0.46
350,1101,14,0.03
351,1244,9,0.42
352,25345,7,0.06
353,19016,12,0.65
354,25203,17,0.76
355,21763,19,0.11
356,33482,7,0.42
357,16433,6,0.56
358,2387,18,0.02
359,26355,6,0.91
360,10013,12,0.79
361,19616,4,0.48
362,33535,1,0.97
363,27843,6,0.16
364,23245,14,0.56
365,18239,16,0.82
366,10939,5,0.67
367,1636,12,0.96
368,22564,13,0.35
369,26091,11,0.91
370,11367,10,0.18
371,19393,1,0.19
372,24107,17,0.53
373,296,8,0.8
374,5404,3,0.53
375,21800,19,0.26
376,21599,16,0.35
377,20946,18,0.44
378,9492,2,0.63
379,30829,1,0.03
380,23903,16,0.77
381,26857,18,0.73
382,34034,12,0.98
383,21641,3,0.22
384,15869,6,0.35
385,27262,2,0.41
386,26267,18,1.0
387,26060,5,0.93
388,13716,4,0.85
389,21567,19,0.83
390,2138,15,0.5
391,29202,7,0.95
392,18935,18,0.59
393,25232,14,0.48
394,14253,13,0.96
395,22658,11,0.47
396,1736,6,0.14
397,4181,18,0.0
398,17463,6,0.22
399,31028,10,0.45
400,17619,9,0.34
401,33504,17,0.55
402,18577,19,0.27
403,27048,10,0.17
404,17056,3,0.89
405,27156,18,0.39
406,28525,16,0.58
407,23842,10,0.59
408,30191,12,0.91
409,6886,18,0.46
410,28029,19,0.76
411,16558,6,0.05
412,7445,5,0.09
413,21264,14,0.79
414,28709,11,0.5
415,19307,7,0.09
416,11907,8,0.11
417,9719,9,0.19
418,7780,8,0.16
419,5384,4,0.88
420,14047,19,0.29
421,15852,5,0.62
422,24772,12,0.19
423,7702,15,0.9
424,34076,17,0.04
425,29374,10,0.13
426,24260,12,0.29
427,1893,19,0.71
428,25867,11,0.58
429,27705,16,0.65
430,15002,13,0.25
431,31858,8,0.43
432,6909,11,0.4
433,25970,6,0.73
434,25756,13,0.13
435,1521,5,0.46
436,11478,19,0.42
437,10912,1,0.51
438,14172,11,0.9
439,6122,11,0.29
440,14549,6,0.65
441,20950,2,0.98
442,13272,1,0.36
443,19552,10,0.06
444,10932,12,0.62
445,29598,11,0.91
446,32166,5,0.82
447,804,17,0.59
448,28265,5,0.35
449,6322,16,0.99
450,32879,19,0.45
451,27863,8,0.59
452,14936,18,0.76
453,19659,12,0.19
454,16006,13,0.77
455,16324,4,0.84
456,20006,11,0.43
457,7633,4,0.92
458,3675,8,0.33
459,2920,19,0.18
460,1320,1,0.09
461,20863,3,0.88
462,16116,15,0.78
463,1420,14,0.31
464,16186,11,0.43
465,30991,8,0.95
466,10208,6,0.99
467,12553,16,0.41
468,28028,4,0.19
469,11854,13,0.81
470,23800,11,0.21
471,10438,19,0.85
472,3916,6,0.26
473,12056,19,0.09
474,7199,4,0.95
475,23776,4,0.67
476,8137,13,0.43
477,13432,9,0.86
478,27351,1,0.87
479,26481,16,0.71
480,21865,14,0.33
481,7528,15,0.59
482,34645,9,0.18
483,4899,6,0.99
484,33764,18,0.4
485,909,10,0.02
486,34948,11,0.98
487,30294,4,0.4
488,18057,5,0.79
489,12366,1,0.47
490,24243,10,0.68
491,4458,14,0.1
492,24466,16,0.67
493,33926,18,0.48
494,17506,13,0.29
495,2558,18,0.32
496,5367,4,0.55
497,30878,10,0.24
498,3606,10,0.85
499,15547,4,0.13
500,23086,8,0.39
501,23739,8,0.75
502,31843,5,0.61
503,3428,10,0.37
504,2168,2,0.57
505,14411,18,0.31
506,12758,9,0.96
507,5884,3,0.52
508,20171,2,0.46
509,29765,12,0.23
510,20182,19,0.2
511,18705,15,0.83
512,19770,16,0.15
513,28385,11,0.7
514,10748,2,0.79
515,34743,17,0.67
516,13538,3,0.36
517,12134,16,0.52
518,8126,10,0.83
519,27112,15,0.92
520,34483,19,0.12
521,25268,13,0.53
522,12623,1,0.8
523,5798,5,0.74
524,10858,4,0.44
525,22508,16,0.76
526,25686,12,0.97
527,29233,7,0.72
528,28757,19,0.59
529,27843,2,0.13
530,28020,14,0.16
531,11085,7,0.55
532,2805,3,0.54
533,10223,5,0.69
534,25447,17,0.91
535,21998,9,0.81
536,8058,6,0.32
537,20253,2,0.04
538,6035,13,0.12
539,27224,3,0.07
540,23749,15,0.31
541,21721,15,0.01
542,5448,2,0.71
543,9315,9,0.17
544,3744,8,0.92
545,12426,4,0.95
546,29265,7,0.15
547,12345,5,0.23
548,958,12,0.57
549,11101,11,0.12
550,16883,10,0.44
551,14188,4,0.13
552,11805,8,0.08
553,18277,2,0.43
554,29957,11,0.14
555,9745,17,0.83
556,24865,6,0.85
557,17415,16,0.77
558,11748,18,0.89
559,8444,13,0.36
560,556,11,0.15
561,3047,4,0.53
562,2606,10,0.05
563,32603,9,0.7
564,18212,10,0.61
565,10705,7,0.8
566,19244,13,0.14
567,27261,4,0.54
568,33886,13,0.66
569,5104,18,0.22
570,255,19,0.74
571,14117,11,0.47
572,27465,3,0.05
573,32361,3,0.37
574,6861,1,0.74
575,23926,8,0.57
576,27639,12,0.78
577,10434,12,0.33
578,11796,11,0.12
579,25950,19,0.53
580,14260,3,0.34
581,12240,2,0.49
582,28539,7,0.51
583,21310,2,0.71
584,8245,15,0.96
585,16754,2,0.94
586,22254,6,0.55
587,11268,19,0.42
588,3443,17,0.39
589,31940,8,0.38
590,5270,13,0.28
591,1245,9,0.05
592,19063,16,0.8
593,32474,10,0.05
594,22746,15,0.64
595,34992,13,0.96
596,22975,8,0.06
597,19442,2,0.21
598,504,1,0.11
599,10518,4,0.23
600,27030,3,0.12
601,3753,8,0.9
602,15430,19,0.1
603,3286,7,0.01
604,25642,18,0.06
605,10096,4,0.03
606,31238,11,0.46
607,9908,4,0.38
608,30225,17,0.24
609,29394,18,0.98
610,6516,16,0.51
611,20935,16,0.56
612,31969,16,0.99
613,20521,17,0.7
614,748,15,0.28
615,34990,9,0.15
616,21319,2,0.17
617,14930,5,0.49
618,23174,2,0.01
619,9807,15,0.51
620,28479,19,0.02
621,197,3,0.88
622,9952,4,0.59
623,31600,10,0.14
624,10422,14,0.06
625,8645,8,0.4
626,16772,7,0.1
627,766,11,0.75
628,2716,7,0.84
629,625,6,0.63
630,22635,4,0.09
631,30208,12,0.17
632,1071,17,0.03
633,27331,16,0.61
634,19923,16,0.36
635,9805,12,0.1
636,1176,1,0.35
637,1029,16,0.3
638,27443,7,0.85
639,17539,16,0.26
640,11148,9,0.38
641,15688,8,0.86
642,10109,5,0.59
643,25132,15,0.21
644,18070,11,0.72
645,4020,2,0.5
646,27465,13,0.36
647,20531,5,0.87
648,6096,3,0.47
649,28861,4,0.14
650,32483,19,0.67
651,4479,3,0.03
652,29320,18,0.43
653,15413,17,0.75
654,27045,1,0.73
655,26245,6,0.01
656,25418,4,0.1
657,30321,17,0.53
658,3357,13,0.1
659,22823,13,0.29
660,15553,17,0.37
661,13479,17,0.68
662,32375,3,0.6
663,3941,2,1.0
664,21812,2,0.71
665,18070,11,0.79
666,28208,5,0.61
667,16589,9,0.69
668,23673,1,0.12
669,2910,7,0.48
670,32694,10,0.46
671,33995,12,0.3
672,9520,17,0.66
673,4792,10,0.83
674,6206,5,0.66
675,29820,15,0.43
676,1174,7,0.19
677,6002,2,0.14
678,10074,2,0.99
679,24147,19,0.15
680,11995,1,0.29
681,16211,10,0.46
682,3588,3,0.95
683,20244,1,0.05
684,17048,11,0.08
685,17533,19,0.46
686,2583,11,0.44
687,22173,4,0.85
688,21403,12,0.24
689,17744,17,0.87
690,29495,3,0.6
691,24979,7,0.97
692,7580,4,0.82
693,22769,17,0.56
694,15062,2,0.61
695,12534,4,0.72
696,26219,11,0.95
697,10288,11,0.37
698,5767,14,0.94
699,26285,13,0.38
700,530,9,0.7
701,8977,6,0.35
702,12111,2,0.17
703,4560,15,0.69
704,21054,4,0.73
705,25751,13,0.49
706,21415,16,0.3
707,33081,19,0.88
708,24994,16,0.15
709,9708,11,0.16
710,29904,9,0.56
711,18915,8,0.46
712,10944,13,0.14
713,431,19,0.94
714,7353,7,0.76
715,18307,11,0.05
716,12918,4,0.49
717,13034,9,0.25
718,24452,9,0.28
719,13143,13,0.77
720,13026,13,0.89
721,18921,7,0.27
722,28544,17,0.9
723,8731,2,0.91
724,28974,13,0.81
725,30978,8,0.73
726,15096,2,0.07
727,18763,3,0.44
728,24484,14,0.15
729,12246,8,0.11
730,24393,16,0.84
731,34062,16,0.25
732,29323,15,0.12
733,25940,19,0.81
734,19434,3,0.21
735,4683,13,0.37
736,971,6,0.4
737,23932,12,0.75
738,5347,10,0.76
739,31473,12,0.81
740,15283,16,0.5
741,34518,15,0.4
742,33864,1,0.63
743,22773,2,0.44
744,18831,3,0.74
745,31176,19,0.58
746,23441,3,0.91
747,13612,17,0.3
748,6730,18,0.56
749,13231,16,0.46
750,12409,3,0.17
751,22572,17,0.89
752,18416,7,0.75
753,8092,5,0.61
754,7979,1,0.48
755,18074,2,0.73
756,11340,7,0.68
757,24740,12,0.07
758,34870,11,0.37
759,6742,10,0.41
760,20516,8,0.74
761,1364,17,0.99
762,9544,7,0.88
763,771,10,0.66
764,34055,2,0.41
765,9228,17,0.63
766,25355,3,0.93
767,32430,12,0.45
768,29505,6,0.06
769,8259,16,0.02
770,24255,17,0.65
771,22100,12,0.27
772,23482,19,0.12
773,21845,17,0.1
774,577,15,0.97
775,31254,9,0.38
776,23291,17,0.6
777,23051,7,0.42
778,23631,3,0.99
779,26134,13,0.5
780,1580,18,0.97
781,11499,2,0.66
782,29955,15,0.53
783,16818,11,0.42
784,2051,1,0.93
785,20548,5,0.87
786,18762,15,0.07
787,10994,5,0.41
788,24840,14,0.74
789,7522,1,0.64
790,8440,13,0.44
791,22536,15,0.96
792,26694,6,0.64
793,24825,16,0.99
794,28415,9,0.53
795,32672,8,0.84
796,24875,7,0.16
797,28407,17,0.93
798,28624,4,0.49
799,4623,8,0.55
800,11076,6,0.31
801,22185,13,0.66
802,15625,8,0.84
803,28320,15,0.79
804,17927,7,0.17
805,4424,1,0.02
806,13549,7,0.2
807,11793,13,0.18
808,12073,4,0.84
809,26008,19,0.97
810,23973,7,0.91
811,31237,17,0.31
812,9084,17,0.99
813,19244,4,0.35
814,17002,4,0.79
815,11262,12,0.25
816,18138,8,0.99
817,10788,13,0.38
818,16987,3,0.52
819,12292,5,0.4
820,3547,16,0.79
821,2442,18,0.64
822,18246,1,0.38
823,16538,7,0.33
824,18901,3,0.83
825,28089,14,0.11
826,30826,4,0.42
827,1199,1,0.87
828,27267,8,0.73
829,21704,6,0.55
830,22946,18,0.53
831,18701,5,0.89
832,17498,12,0.92
833,21868,14,0.87
834,13997,8,1.0
835,13418,11,0.39
836,23127,10,0.05
837,34313,17,0.29
838,32895,8,0.52
839,4657,7,0.49
840,32055,7,0.95
841,10668,17,0.08
842,3919,6,0.03
843,15731,17,0.1
844,15192,9,0.32
845,15198,10,0.71
846,24810,13,0.13
847,29043,9,0.7
848,4711,13,0.49
849,29149,2,0.34
850,28212,16,0.22
851,22970,18,0.53
852,34163,9,0.63
853,20326,11,0.09
854,2718,1,0.39
855,11544,6,0.44
856,11193,2,0.74
857,13202,14,0.08
858,31836,8,0.34
859,18059,5,0.58
860,19161,12,0.21
861,2793,8,0.41
862,23639,11,0.26
863,15121,3,0.86
864,24559,9,0.26
865,12139,18,0.5
866,10811,8,0.47
867,26431,12,0.01
868,7013,5,0.76
869,5870,3,0.79
870,23693,9,0.25
871,21229,2,0.03
872,8734,2,0.5
873,8347,13,0.45
874,28976,16,0.0
875,12129,14,0.86
876,2930,19,0.83
877,28973,13,0.12
878,2265,12,0.28
879,1722,14,0.2
880,13010,15,0.65
881,21337,7,0.18
882,4340,6,0.47
883,25370,18,0.47
884,9043,2,0.84
885,22600,16,0.83
886,22389,3,0.43
887,18256,9,0.21
888,16557,9,0.81
889,13466,9,0.77
890,21853,19,0.73
891,2462,3,0.82
892,24898,17,0.5
893,12346,6,0.43
894,31680,16,0.65
895,141,16,0.92
896,4279,19,0.68
897,34209,1,0.05
898,34629,16,0.84
899,26912,4,0.88
900,18083,1,0.9
901,26035,2,0.38
902,6395,5,0.79
903,11661,18,0.26
904,22262,2,0.97
905,24685,13,0.35
906,15621,13,0.7
907,2018,1,0.78
908,9386,17,0.4
909,28883,16,0.76
910,9881,5,0.61
911,1953,9,0.09
912,26246,15,0.29
913,30684,4,0.76
914,20826,14,0.95
915,10143,10,0.44
916,31825,18,0.01
917,13646,10,0.42
918,13607,1,0.49
919,22774,10,0.95
920,9499,16,0.32
921,25506,16,0.51
922,26778,16,0.45
923,5052,5,0.12
924,3546,1,0.98
925,16617,9,0.27
926,4161,10,0.81
927,9936,8,0.53
928,6873,15,0.76
929,21814,13,0.88
930,10439,13,0.98
931,8805,15,0.24
932,4767,11,0.39
933,863,8,0.93
934,1665,16,0.82
935,4577,17,0.55
936,3468,8,0.07
937,8480,18,0.24
938,14565,16,0.1
939,32541,2,0.7
940,33692,5,0.92
941,18032,17,0.4
942,23717,1,0.17
943,22419,4,0.17
944,7043,19,0.45
945,34542,15,0.76
946,33314,9,0.37
947,28924,2,0.78
948,11620,12,0.18
949,31872,15,0.38
950,29760,7,0.83
951,14081,16,0.84
952,19685,10,0.11
953,34874,8,0.19
954,20927,14,0.93
955,20582,13,0.71
956,34438,11,0.05
957,34726,19,0.92
958,33128,1,0.82
959,9682,2,0.02
960,19181,7,0.89
961,23587,2,0.19
962,22752,11,0.97
963,4033,14,0.59
964,13533,10,0.64
965,16239,9,0.95
966,9113,8,0.65
967,16989,12,0.16
968,3566,16,0.21
969,377,4,0.44
970,18236,19,0.44
971,11366,12,0.81
972,33460,7,0.64
973,29896,1,0.17
974,29995,18,0.73
975,21129,15,0.01
976,15267,1,0.02
977,11325,4,0.3
978,24673,7,0.74
979,10362,10,0.76
980,3732,11,0.83
981,31025,3,0.24
982,22143,12,0.11
983,14686,13,0.64
984,6955,10,0.38
985,23600,7,0.98
986,22722,19,0.45
987,29717,4,0.08
988,3219,15,0.36
989,12819,16,0.76
990,25154,17,0.83
991,3677,17,0.19
992,18034,3,0.6
993,8853,6,0.48
994,22685,15,0.63
995,23738,18,0.56
996,29996,9,0.71
997,7559,2,0.49
998,9086,10,0.93
999,18178,5,0.66
1000,10093,1,0.58
1001,7581,9,0.66
1002,24313,4,0.69
1003,23229,6,0.13
1004,21542,6,0.45
1005,24739,8,0.94
1006,12839,16,0.7
1007,27311,17,0.26
1008,11561,11,0.71
1009,16694,17,0.92
1010,2922,9,0.83
1011,34149,9,0.7
1012,27257,6,0.22
1013,12016,13,0.36
1014,31212,8,0.47
1015,12871,17,0.2
1016,7775,2,0.33
1017,26570,18,0.74
1018,5916,1,0.67
1019,31751,4,0.73
1020,17691,6,0.29
1021,34482,4,0.62
1022,19613,9,0.47
1023,4352,3,0.26
1024,14225,11,0.27
1025,11879,11,0.88
1026,25479,14,0.38
1027,27531,6,0.12
1028,30885,1,0.29
1029,2059,9,0.02
1030,22967,15,0.07
1031,2911,4,0.38
1032,12756,7,0.23
1033,18213,11,0.08
1034,30120,11,0.44
1035,2872,18,0.98
1036,13959,6,0.49
1037,12188,18,0.5
1038,18695,6,0.66
1039,9910,2,0.66
1040,982,15,0.35
1041,212,10,0.47
1042,20890,8,0.66
1043,27655,4,0.12
1044,12988,16,0.57
1045,2708,12,0.21
1046,27809,7,0.43
1047,1939,17,0.35
1048,27527,7,0.23
1049,34303,10,0.84
1050,7424,18,0.42
1051,7163,1,0.98
1052,3743,16,0.31
1053,11183,11,0.63
1054,26027,11,0.22
1055,11837,8,0.87
1056,18676,4,0.24
1057,7064,7,0.01
1058,29315,6,0.21
1059,24657,12,0.63
1060,17039,6,0.77
1061,30767,18,0.78
1062,18711,3,0.33
1063,25690,2,0.21
1064,24766,7,0.04
1065,21066,15,0.28
1066,30443,9,0.4
1067,31962,19,0.21
1068,22418,15,0.09
1069,22828,13,0.42
1070,25016,19,0.28
1071,11286,19,0.15
1072,31493,16,0.91
1073,33074,3,0.85
1074,13064,8,0.18
1075,31130,11,0.34
1076,31521,16,0.36
1077,20859,17,0.75
1078,15314,8,0.59
1079,11026,10,0.35
1080,30133,13,0.68
1081,1564,13,0.24
1082,31893,3,0.21
1083,2595,9,0.45
1084,1509,10,0.61
1085,19349,6,0.4
1086,14372,16,0.79
1087,6324,6,0.57
1088,33542,16,0.67
1089,2642,6,0.67
1090,21781,18,0.97
1091,18397,7,0.46
1092,3284,9,0.7
1093,30690,11,0.58
1094,18486,10,0.17
1095,767,2,0.22
1096,24902,4,0.55
1097,1235,17,0.51
1098,24505,14,0.51
1099,21573,3,0.34
1100,13893,15,0.52
1101,15715,7,0.77
1102,1911,1,0.75
1103,4039,12,0.18
1104,16382,13,0.24
1105,17051,18,0.92
1106,3585,2,0.63
1107,9565,5,0.43
1108,20356,7,0.22
1109,29179,18,0.85
1110,24619,14,0.97
1111,716,8,0.88
1112,2286,6,0.27
1113,2741,17,0.46
1114,14853,3,0.05
1115,1878,2,0.95
1116,3900,9,0.83
1117,28049,2,0.26
1118,12980,3,0.77
1119,33241,9,0.08
1120,33587,18,0.12
1121,14758,19,0.32
1122,21524,2,0.82
1123,25236,4,0.64
1124,1404,7,0.06
1125,31913,18,0.62
1126,32101,3,0.98
1127,2863,1,0.66
1128,3884,2,0.74
1129,3340,12,0.47
1130,25302,5,0.53
1131,19854,2,0.4
1132,19615,12,0.2
1133,26387,13,0.53
1134,27501,5,0.34
1135,32848,15,0.7
1136,17499,13,0.04
1137,18980,17,0.1
1138,24184,3,0.99
1139,6131,10,0.56
1140,23690,7,0.57
1141,7817,17,0.55
1142,2772,1,0.4
1143,19923,11,0.57
1144,19818,19,0.01
1145,7911,14,0.28
1146,16950,9,0.27
1147,13468,10,0.69
1148,689,15,0.78
1149,25844,17,0.72
1150,15046,1,0.47
1151,31331,1,0.59
1152,19927,7,0.08
1153,32051,19,0.09
1154,672,15,0.55
1155,351,5,0.74
1156,17537,19,0.17
1157,1503,11,0.73
1158,25158,10,0.32
1159,19984,9,0.55
1160,10647,4,0.49
1161,10937,12,0.83
1162,28886,5,0.66
1163,28288,19,0.34
1164,15142,7,0.51
1165,32456,19,0.83
1166,22321,5,0.47
1167,25709,3,0.92
1168,31649,13,0.32
1169,31669,16,0.61
1170,22866,7,0.77
1171,34012,4,0.63
1172,32733,2,0.88
1173,27837,9,0.66
1174,30775,18,0.71
1175,7256,19,0.3
1176,30786,12,0.62
1177,21709,11,0.98
1178,3145,10,0.15
1179,8411,9,0.04
1180,28683,6,0.32
1181,4513,13,0.64
1182,31128,16,0.74
1183,15997,18,0.92
1184,15401,7,0.52
1185,9150,8,0.01
1186,6813,8,0.67
1187,2740,5,0.33
1188,31771,11,0.78
1189,32414,8,0.94
1190,10177,6,0.39
1191,3553,2,0.53
1192,18880,1,0.32
1193,85,8,0.19
1194,21778,7,0.22
1195,14976,18,0.18
1196,3805,13,0.17
1197,29450,8,0.64
1198,18728,2,0.59
1199,19159,3,0.38
1200,182,12,0.6
1201,12774,3,0.09
1202,164,4,0.62
1203,30720,14,0.25
1204,5841,19,0.56
1205,16755,16,0.77
1206,27872,16,0.79
1207,238,7,0.88
1208,33872,11,0.31
1209,18053,14,0.56
1210,16081,19,0.83
1211,23123,17,0.68
1212,16908,6,0.92
1213,2708,8,0.53
1214,16508,11,0.63
1215,28164,9,0.32
1216,6086,8,0.19
1217,9821,19,0.18
1218,17573,9,0.5
1219,16523,6,0.89
1220,31668,16,0.32
1221,5355,16,0.51
1222,6442,6,0.35
1223,8579,1,0.57
1224,23440,9,0.69
1225,16985,17,0.85
1226,16319,10,0.96
1227,18285,5,0.71
1228,25604,15,0.12
1229,7124,1,0.59
1230,8920,18,0.33
1231,13764,15,0.16
1232,2579,2,0.74
1233,11005,16,0.12
1234,11857,16,0.31
1235,21268,17,0.35
1236,7323,5,0.73
1237,6302,18,0.08
1238,19544,2,0.63
1239,19696,15,0.45
1240,3827,3,0.45
1241,26725,2,0.69
1242,13010,15,0.95
1243,27084,6,0.24
1244,29454,5,0.52
1245,32322,15,0.69
1246,19332,3,0.44
1247,6348,12,0.39
1248,34513,5,0.5
1249,16952,4,0.49
