inventory_event_id,part_id,stock_level,reorder_probability
367,17685,3,0.35
368,24462,384,0.89
369,5869,231,0.42
370,30820,86,0.06
371,27093,90,0.78
372,6864,176,0.95
373,23265,438,0.82
374,9213,319,0.81
375,33706,204,0.18
376,20602,493,0.01
377,13325,15,0.71
378,29710,51,0.25
379,17657,419,0.11
380,14822,0,0.17
381,16596,263,0.35
382,23151,399,0.47
383,18110,177,0.48
384,14315,106,0.49
385,19923,368,0.13
386,23995,221,0.95
387,18477,287,0.55
388,30225,62,0.83
389,8064,270,0.3
390,5515,283,0.1
391,20747,405,0.25
392,34201,73,0.66
393,4323,183,0.92
394,11986,408,0.21
395,3653,321,0.25
396,13073,285,0.87
397,5044,356,0.83
398,31707,483,0.13
399,25900,445,0.87
400,16970,452,0.21
401,15063,49,0.56
402,3614,437,0.42
403,29154,109,0.93
404,7024,346,0.52
405,23311,139,0.89
406,10188,28,0.21
407,30390,444,0.45
408,20935,220,0.11
409,5837,176,0.4
410,13232,85,0.07
411,20039,475,0.28
412,28172,3,0.84
413,34493,120,0.13
414,9321,317,0.47
415,32636,498,0.67
416,19716,126,0.64
417,21731,140,0.27
418,3524,320,0.02
419,15937,236,0.75
420,19942,296,0.6
421,22484,463,0.61
422,32777,441,0.77
423,1915,48,0.32
424,2055,340,0.86
425,9342,499,0.8
426,28650,151,0.48
427,29122,73,0.23
428,22071,62,0.95
429,10362,229,0.29
430,28881,438,0.36
431,9768,69,0.23
432,18669,480,0.4
433,30432,280,0.72
434,24413,173,0.04
435,29853,2,0.23
436,15177,3,0.22
437,7302,489,0.56
438,12724,64,0.1
439,4633,189,0.93
440,18143,290,0.86
441,3337,496,0.03
442,2843,278,0.47
443,12887,273,0.45
444,12413,176,0.26
445,21897,389,0.46
446,26919,161,0.78
447,29884,399,0.6
448,13998,234,0.78
449,23107,283,0.55
450,4001,299,0.76
451,7577,123,0.61
452,9509,81,0.79
453,1173,291,0.57
454,23898,271,0.87
455,14851,99,0.59
456,1960,238,0.69
457,33600,126,1.0
458,19071,73,0.02
459,12723,258,0.67
460,8995,319,0.69
461,6517,461,0.65
462,9133,8,0.73
463,27450,408,0.44
464,11892,471,0.98
465,2793,377,0.01
466,25059,224,0.62
467,7946,211,0.81
468,28334,355,0.34
469,25673,296,0.35
470,16779,100,0.7
471,15402,491,0.35
472,26684,46,0.9
473,23850,218,0.3
474,18543,210,0.75
475,12183,222,0.33
476,9631,151,0.46
477,14913,292,0.73
478,26024,307,0.64
479,15873,320,0.26
480,25244,254,0.95
481,3408,294,0.33
482,20954,31,0.37
483,24629,493,0.46
484,9321,357,0.48
485,23445,86,0.06
486,17065,134,0.92
487,25737,383,0.58
488,23682,21,0.51
489,12813,439,0.91
490,7270,176,0.6
491,18931,267,0.73
492,9591,206,0.34
493,27582,57,0.37
494,24351,143,0.66
495,21986,292,0.6
496,31959,99,0.15
497,31966,392,0.95
498,4245,134,0.51
499,30380,309,0.31
500,9297,264,0.26
501,4884,304,0.89
502,14747,482,0.85
503,7342,273,0.58
504,26475,471,0.99
505,26950,97,0.5
506,1327,310,0.41
507,3714,162,0.35
508,30357,431,0.93
509,17178,29,0.78
510,2959,0,0.36
511,18941,285,0.63
512,10118,308,0.26
513,21874,82,0.86
514,32154,442,0.89
515,19772,488,0.45
516,33208,77,0.74
517,6878,345,0.68
518,33562,347,0.69
519,25808,197,0.59
520,21284,5,0.42
521,13140,490,0.15
522,9687,471,0.36
523,17868,103,0.77
524,21979,11,0.73
525,7911,265,0.71
526,29494,217,0.79
527,9138,477,0.78
528,8410,60,0.66
529,100,297,0.41
530,23565,385,0.17
531,29751,132,0.08
532,12466,204,0.69
533,14074,290,0.62
534,34314,408,0.05
535,6775,182,0.61
536,1822,56,0.48
537,23446,123,0.45
538,32323,397,0.01
539,13596,238,0.07
540,19216,329,0.79
541,29394,321,0.96
542,12552,21,0.73
543,14308,76,0.85
544,6800,421,0.05
545,29656,249,0.07
546,4790,116,0.97
547,5640,419,0.6
548,19961,492,0.88
549,9923,468,0.76
550,6382,376,0.27
551,7828,326,0.26
552,18501,239,0.77
553,22412,197,0.48
554,19335,96,0.47
555,10774,14,0.57
556,11667,396,0.43
557,14478,340,0.92
558,21232,138,0.74
559,22776,301,0.33
560,20841,194,0.59
561,7060,82,0.89
562,22591,334,0.44
563,19893,117,0.18
564,10332,132,0.96
565,29150,427,0.21
566,22003,486,0.8
567,11180,87,0.25
568,7279,419,0.66
569,5392,353,0.13
570,1410,149,0.06
571,20102,340,0.61
572,8747,11,0.82
573,21550,21,0.99
574,27935,392,0.22
575,13774,377,0.58
576,3462,181,0.66
577,25205,0,0.81
578,28792,227,0.91
579,21562,309,0.5
580,29545,193,0.2
581,6962,89,0.32
582,33946,416,0.14
583,19209,356,0.17
584,16121,408,0.11
585,32464,220,0.82
586,31114,34,0.55
587,33803,363,0.69
588,2924,212,0.69
589,28635,40,0.69
590,15905,454,0.7
591,18245,155,0.38
592,26670,143,0.32
593,7818,168,0.22
594,8002,87,0.32
595,13446,199,0.67
596,32335,287,0.75
597,33315,104,0.78
598,34436,292,0.18
599,584,116,0.85
600,12504,433,0.81
601,14735,465,0.55
602,22782,22,0.57
603,13838,309,0.29
604,27003,267,0.7
605,9476,454,0.93
606,24357,142,0.18
607,20371,479,0.15
608,4829,20,0.31
609,3606,429,0.69
610,30247,86,0.57
611,14379,319,0.87
612,17090,385,0.69
613,11429,292,0.31
614,28139,244,0.77
615,10656,135,0.43
616,14758,416,0.21
617,6584,159,0.63
618,22785,119,0.97
619,7019,409,0.94
620,1196,468,0.07
621,1545,52,0.34
622,32747,151,0.47
623,904,31,0.17
624,19909,272,0.44
625,19247,266,0.58
626,10670,393,0.25
627,16083,304,0.19
628,26527,190,0.34
629,31382,185,0.63
630,14885,97,0.59
631,13123,254,0.46
632,27660,344,0.98
633,14852,85,0.95
634,16214,111,0.27
635,30732,25,0.02
636,24823,376,0.48
637,11341,353,0.08
638,1364,492,0.53
639,4028,31,0.06
640,8566,468,0.86
641,33293,357,0.38
642,8631,256,0.79
643,15643,216,0.17
644,31261,114,0.49
645,34161,279,0.04
646,6132,86,0.02
647,30878,402,0.96
648,3364,117,0.87
649,2293,357,0.22
650,2515,27,0.85
651,21598,272,0.89
652,13751,184,0.37
653,29294,447,0.47
654,7595,227,0.22
655,17216,267,1.0
656,9527,324,0.33
657,32485,473,0.2
658,19888,146,0.72
659,5249,464,0.2
660,30921,170,0.83
661,19556,197,0.74
662,30378,393,0.01
663,6616,111,0.43
664,1079,456,0.72
665,4766,443,0.76
666,25729,460,0.65
667,7694,234,0.28
668,3174,247,0.83
669,6407,78,0.68
670,13770,221,0.39
671,9832,375,0.93
672,21687,286,0.65
673,25608,205,0.11
674,7554,402,0.54
675,13351,322,0.94
676,16077,364,0.98
677,6199,51,0.04
678,21592,360,0.61
679,18609,106,0.34
680,31646,196,0.2
681,6287,169,0.18
682,17031,318,0.12
683,11429,118,0.82
684,5875,390,0.93
685,34923,276,0.69
686,7674,43,0.33
687,29189,62,0.12
688,1219,197,0.65
689,31744,181,0.65
690,24913,281,0.26
691,19919,416,0.36
692,34192,165,0.2
693,13565,363,0.24
694,27694,286,0.74
695,5548,396,0.37
696,1734,145,0.73
697,23140,350,0.67
698,4748,98,0.41
699,8174,253,0.42
700,13753,484,0.77
701,16055,150,0.08
702,4433,249,0.21
703,22025,9,0.4
704,20840,419,0.26
705,3095,404,0.26
706,7513,389,0.04
707,2207,145,0.11
708,21452,428,0.03
709,18459,266,0.3
710,30973,179,0.69
711,10281,474,0.42
712,13237,345,0.49
713,10974,4,0.79
714,27369,416,0.3
715,27291,457,0.28
716,13170,258,0.49
717,15367,89,0.51
718,5752,332,0.42
719,12941,54,0.66
720,22915,78,0.71
721,31640,114,0.42
722,9103,462,0.91
723,20426,263,0.34
724,13271,383,0.01
725,14862,221,0.48
726,11690,53,0.52
727,6422,326,0.28
728,9144,429,0.75
729,23744,159,0.54
730,17725,397,0.42
731,2189,95,0.8
732,22601,16,0.66
733,16807,35,0.61
734,705,297,0.63
735,31428,161,0.48
736,29711,182,0.86
737,6412,445,0.12
738,27908,149,0.51
739,24966,442,0.74
740,19646,253,0.05
741,12603,224,0.3
742,22140,122,0.63
743,29519,374,0.45
744,2533,403,0.86
745,34146,493,0.21
746,14828,149,0.89
747,19301,254,0.55
748,28971,31,0.13
749,10072,228,0.73
750,7165,107,0.27
751,27666,71,0.11
752,3677,32,0.45
753,3853,416,0.13
754,10337,66,0.54
755,3329,21,0.89
756,9249,166,0.15
757,560,228,0.44
758,28358,94,0.31
759,15636,173,0.85
760,222,265,0.7
761,31338,185,0.54
762,26474,250,0.3
763,9970,169,0.53
764,7562,103,0.08
765,18136,378,0.08
766,18319,235,0.64
767,12003,401,0.38
768,14250,178,0.38
769,3978,1,0.22
770,30278,478,0.8
771,9153,413,0.57
772,8244,216,0.4
773,27136,42,0.07
774,31441,240,0.33
775,14416,359,0.54
776,15841,345,0.73
777,11596,243,0.17
778,28748,124,0.5
779,3786,344,0.7
780,5282,212,0.78
781,16996,198,0.37
782,17567,364,0.52
783,23999,194,0.54
784,3051,287,0.67
785,25037,493,0.03
786,10820,51,0.07
787,34370,346,0.43
788,20946,253,0.0
789,34308,404,0.72
790,32668,322,0.62
791,5292,317,0.24
792,1091,333,0.74
793,5526,44,0.95
794,13031,109,0.33
795,27276,408,0.24
796,7272,99,0.5
797,28867,342,0.57
798,13730,306,0.49
799,19579,18,0.34
800,33967,339,0.36
801,22722,117,0.16
802,26192,78,0.81
803,18866,141,0.28
804,251,106,0.5
805,14205,314,0.61
806,3622,280,0.75
807,11776,133,0.86
808,10022,293,0.74
809,7617,30,0.39
810,34253,23,0.04
811,13716,170,0.66
812,1864,177,0.36
813,14827,377,0.74
814,21544,25,0.84
815,8713,54,0.53
816,11687,261,0.7
817,27262,205,0.32
818,30065,246,0.26
819,21231,361,0.65
820,25214,329,0.81
821,30197,193,0.68
822,1119,330,0.52
823,28113,163,0.21
824,19293,272,0.14
825,10049,369,0.62
826,23137,471,0.13
827,24120,27,0.37
828,2751,213,0.38
829,30449,359,0.68
830,11597,309,0.62
831,25244,384,0.42
832,11616,219,0.09
833,3194,478,0.83
834,32349,87,0.22
835,8018,295,0.52
836,11735,424,0.15
837,5834,380,0.19
838,17201,116,0.26
839,8896,448,0.72
840,32319,391,0.02
841,20329,373,0.16
842,27351,5,0.17
843,21980,236,0.17
844,32707,461,0.63
845,16794,84,0.74
846,27687,347,0.12
847,1151,308,0.27
848,29405,278,0.89
849,12148,124,0.6
850,18830,344,0.71
851,23035,457,0.78
852,12313,406,0.02
853,31752,62,0.43
854,20068,4,0.78
855,18138,116,0.72
856,11657,318,0.65
857,25323,224,0.68
858,7786,354,0.85
859,31511,228,0.58
860,31309,312,0.57
861,26296,93,0.77
862,31511,490,0.93
863,15621,435,0.96
864,22152,210,0.35
865,15449,210,0.46
866,22682,397,0.63
867,4104,491,0.66
868,33332,429,0.36
869,22524,246,0.14
870,25792,238,0.43
871,32890,352,0.45
872,10168,177,0.85
873,33324,324,0.01
874,15494,197,0.86
875,6705,306,0.85
876,30695,410,0.52
877,1706,137,0.84
878,21723,160,0.46
879,13415,380,0.11
880,4152,84,0.23
881,32368,157,0.83
882,18039,15,0.81
883,21225,491,0.66
884,30735,124,0.38
885,27280,308,0.94
886,29698,276,0.73
887,2974,138,0.68
888,34828,443,0.65
889,17243,246,0.14
890,32518,196,0.14
891,21653,300,0.9
892,11404,281,0.49
893,27855,167,0.84
894,29714,315,0.34
895,32213,496,0.57
896,18040,406,0.17
897,7813,136,0.81
898,27645,173,0.05
899,27039,284,0.92
900,28354,179,0.57
901,1702,231,0.47
902,24425,457,0.53
903,31519,403,0.19
904,10842,330,0.43
905,31021,266,0.22
906,15253,390,0.11
907,24060,16,0.57
908,23588,231,0.55
909,22446,74,0.53
910,31326,462,0.92
911,3949,145,0.91
912,18221,444,0.63
913,22346,91,0.88
914,20359,9,0.74
915,5808,351,0.21
916,19814,1,0.3
917,17804,272,0.43
918,11508,60,0.08
919,4824,482,0.33
920,10401,414,0.16
921,2149,279,0.68
922,30133,436,0.58
923,29067,136,0.83
924,18966,331,0.56
925,33056,398,0.66
926,21885,165,0.86
927,13757,381,0.16
928,6236,409,0.29
929,18043,50,0.45
930,24408,441,0.56
931,16546,41,0.52
932,2392,402,0.81
933,13311,353,0.97
934,13268,20,0.78
935,26576,59,0.14
936,34951,422,0.26
937,134,135,0.63
938,24482,319,0.21
939,28473,192,0.45
940,26466,497,0.8
941,34790,155,0.72
942,19568,194,0.17
943,27111,291,0.26
944,4716,182,0.49
945,19911,111,0.9
946,2999,423,0.45
947,24446,403,0.76
948,5877,204,0.34
949,20205,179,1.0
950,30698,396,0.33
951,20051,148,0.86
952,13662,79,0.08
953,1568,447,0.48
954,5440,16,0.62
955,14747,476,0.29
956,12178,295,0.57
957,5135,396,0.0
958,14601,291,0.88
959,27025,133,0.12
960,16659,472,0.03
961,26048,326,0.94
962,5433,471,0.07
963,31237,235,0.72
964,54,39,0.88
965,8297,42,0.87
966,8055,440,0.03
967,30643,316,0.55
968,34572,33,0.61
969,31088,353,0.95
970,4646,489,0.2
971,32166,148,0.56
972,27185,181,0.51
973,21478,129,0.35
974,21418,289,0.77
975,23219,116,0.61
976,20144,429,0.2
977,25479,307,0.13
978,1123,227,0.98
979,29506,151,0.28
980,21899,486,0.83
981,1558,454,0.92
982,25081,283,0.21
983,2177,333,0.55
984,6830,96,0.29
985,20127,145,0.73
986,8918,461,0.38
987,2488,331,0.46
988,29584,362,0.86
989,34776,429,0.65
990,23848,160,0.29
991,6724,440,0.01
992,22327,343,0.4
993,3297,227,0.71
994,6614,263,0.47
995,12460,438,0.61
996,22767,62,0.48
997,9658,245,0.74
998,18127,54,0.94
999,26996,185,0.25
1000,31486,269,0.32
1001,27592,327,0.47
1002,31130,446,0.84
1003,13761,218,0.54
1004,29397,461,0.06
1005,8547,235,0.49
1006,34917,271,0.1
1007,32958,494,0.33
1008,28796,418,0.5
1009,21968,253,0.43
1010,32748,133,0.09
1011,19820,277,0.21
1012,31734,348,0.03
1013,3869,116,0.65
1014,4408,63,0.56
1015,9071,81,0.08
1016,32359,324,0.74
1017,24913,450,0.51
1018,32933,435,0.52
1019,4772,14,0.42
1020,26048,367,0.62
1021,32385,415,0.48
1022,5211,133,0.56
1023,26406,445,0.31
1024,31152,202,0.94
1025,15726,353,0.79
1026,4425,218,0.51
1027,10404,167,0.79
1028,5958,74,0.33
1029,20480,262,0.12
1030,11442,370,0.19
1031,10614,329,0.01
1032,18865,23,0.16
1033,31891,169,0.47
1034,10929,167,0.24
1035,32527,495,0.71
1036,16775,165,0.63
1037,2640,4,0.13
1038,17789,16,0.56
1039,12784,35,0.66
1040,10586,55,0.67
1041,25793,62,0.56
1042,24181,152,0.3
1043,20251,405,0.05
1044,30611,195,0.77
1045,24966,169,0.8
1046,4979,45,0.24
1047,21779,1,0.41
1048,20876,203,0.81
1049,15476,116,0.3
1050,6144,71,0.71
1051,31737,158,0.9
1052,10857,31,0.37
1053,18397,495,0.34
1054,28511,303,0.32
1055,24570,459,0.73
1056,6705,214,0.84
1057,13364,326,0.07
1058,22054,191,0.7
1059,29285,302,0.63
1060,20115,196,0.54
1061,3761,435,0.53
1062,8883,253,0.54
1063,30099,223,0.69
1064,8849,6,0.15
1065,9557,165,0.04
1066,29941,484,0.5
1067,22518,58,0.42
1068,6587,22,0.77
1069,29516,124,0.2
1070,6303,271,0.16
1071,3059,343,0.45
1072,24031,438,0.23
1073,16822,475,0.06
1074,26245,123,0.81
1075,31384,164,0.93
1076,13022,272,0.4
1077,22621,63,0.7
1078,16896,419,0.06
1079,32259,44,0.37
1080,17383,189,0.57
1081,7776,499,0.01
1082,27432,290,0.06
1083,21320,252,0.89
1084,17288,414,0.43
1085,15392,325,0.83
1086,12294,462,0.27
1087,33940,423,0.84
1088,1066,462,0.16
1089,6385,413,0.91
1090,25013,461,0.08
1091,28177,48,0.31
1092,25814,358,0.33
1093,29333,229,0.46
1094,27483,326,0.38
1095,34324,261,0.21
1096,20782,303,0.46
1097,22762,123,0.54
1098,16165,79,0.27
1099,6797,22,0.96
1100,8261,60,0.31
1101,30654,386,0.91
1102,34030,454,0.56
1103,20812,233,0.6
1104,5612,248,0.25
1105,33663,194,0.39
1106,11980,475,0.07
1107,14034,388,0.57
1108,21283,63,0.98
1109,34322,400,0.75
1110,32899,211,0.96
1111,18440,86,0.12
1112,31687,1,0.29
1113,7972,430,0.86
1114,33981,438,0.83
1115,19820,6,0.25
1116,3531,288,0.01
1117,6320,188,0.22
1118,27322,105,0.26
1119,8967,342,0.32
1120,21388,413,0.78
1121,20066,293,0.73
1122,11865,290,0.22
1123,33126,169,0.29
1124,10063,203,0.53
1125,21270,20,1.0
1126,22019,269,0.87
1127,25999,228,0.22
1128,23940,382,0.42
1129,30058,165,0.43
1130,20173,396,0.65
1131,17618,254,0.67
1132,17230,105,0.89
1133,5927,196,0.41
1134,17381,234,0.67
1135,34141,235,0.88
1136,15203,346,0.49
1137,28218,309,0.13
1138,10901,489,0.19
1139,18241,178,0.52
1140,21867,354,0.47
1141,34764,202,0.63
1142,26661,359,0.22
1143,9694,17,0.43
1144,5591,244,0.82
1145,20148,458,0.28
1146,31460,235,0.76
1147,2073,218,0.95
1148,26750,320,0.65
1149,30722,385,0.9
1150,11167,443,0.7
1151,29292,323,0.45
1152,17397,388,0.09
1153,17164,492,0.4
1154,33127,170,0.62
1155,31420,189,0.27
1156,7627,482,0.45
1157,25762,240,0.21
1158,32882,261,0.21
1159,24106,300,0.08
1160,4484,351,0.22
1161,15240,98,0.32
1162,29176,312,0.14
1163,2587,356,0.96
1164,8956,345,0.86
1165,11467,12,0.74
1166,11902,314,0.86
1167,2559,87,0.7
1168,22793,192,0.63
1169,6286,113,0.05
1170,1839,79,0.53
1171,2512,245,0.94
1172,5070,323,0.67
1173,13477,472,0.54
1174,1315,194,0.21
1175,17964,409,0.75
1176,27877,291,0.71
1177,10236,219,0.23
1178,6245,423,0.2
1179,16573,49,0.43
1180,8441,196,0.82
1181,4031,218,0.06
1182,17527,277,0.35
1183,31313,411,0.58
1184,19396,495,0.01
1185,31951,2,0.23
1186,17713,391,0.28
1187,15732,99,0.68
1188,32143,36,0.45
1189,32176,45,0.01
1190,28790,314,0.11
1191,28884,17,0.55
1192,1790,50,0.1
1193,9901,331,0.53
1194,18464,257,0.68
1195,2124,430,0.87
1196,1791,420,0.17
1197,32707,206,0.31
1198,31391,445,0.9
1199,4981,303,0.73
1200,6789,263,0.78
1201,232,40,0.78
1202,14024,247,0.03
1203,15967,208,0.66
1204,33547,393,0.45
1205,13474,453,0.89
1206,6802,33,0.19
1207,34249,440,0.25
1208,28851,187,0.37
1209,3081,177,0.45
1210,9417,122,0.2
1211,33689,297,0.49
1212,33636,25,0.89
1213,18738,374,0.25
1214,10287,302,0.12
1215,11023,255,0.16
1216,25884,276,0.6
1217,28323,229,0.26
1218,23253,235,0.0
1219,11209,10,0.8
1220,24959,444,0.25
1221,19470,306,0.11
1222,11959,313,0.19
1223,29794,330,0.12
1224,26676,268,0.24
1225,10857,498,0.19
1226,12362,212,0.82
1227,6505,290,0.55
1228,33729,24,1.0
1229,6454,380,0.46
1230,19185,49,0.8
1231,1376,256,0.38
1232,24541,438,0.38
1233,14927,446,0.39
1234,2077,302,0.66
1235,9466,276,0.23
1236,25570,179,0.59
1237,14086,321,0.53
1238,11277,321,0.28
1239,6836,82,0.26
1240,17005,362,0.45
1241,16590,274,0.66
1242,18313,82,0.64
1243,4706,443,0.86
1244,32141,62,0.57
1245,8589,126,0.76
1246,26490,428,0.7
1247,10152,34,0.78
