part_id,part_name,criticality_level
143,Sensor,Medium
144,Brake,High
145,Engine,Medium
146,Brake,High
147,Engine,Low
148,Battery,Low
149,Battery,Low
150,Engine,Medium
151,Sensor,Medium
152,Sensor,Medium
153,Brake,Medium
154,Engine,High
155,Brake,Medium
156,Engine,Low
157,Sensor,Medium
158,Battery,Medium
159,Battery,High
160,Battery,Medium
161,Engine,Medium
162,Engine,Low
163,Brake,Low
164,Engine,Low
165,Battery,Low
166,Engine,High
167,Engine,Low
168,Sensor,High
169,Brake,High
170,Battery,Medium
171,Sensor,High
172,Sensor,Medium
173,Battery,Low
174,Battery,High
175,Battery,High
176,Sensor,Medium
177,Engine,Medium
178,Battery,High
179,Battery,Low
180,Sensor,Low
181,Engine,Medium
182,Battery,Low
183,Battery,Medium
184,Battery,Medium
185,Engine,Medium
186,Brake,Low
187,Engine,Low
188,Battery,Low
189,Engine,Medium
190,Brake,Low
191,Sensor,Low
192,Brake,High
193,Sensor,Medium
194,Engine,High
195,Sensor,Medium
196,Sensor,High
197,Sensor,Medium
198,Battery,Low
199,Brake,High
200,Engine,Medium
201,Sensor,Medium
202,Battery,Low
203,Battery,Medium
204,Engine,Medium
205,Battery,Medium
206,Engine,Medium
207,Brake,Low
208,Battery,Low
209,Brake,Medium
210,Battery,Medium
211,Brake,Low
212,Brake,Medium
213,Engine,Low
214,Sensor,Low
215,Sensor,High
216,Brake,Medium
217,Battery,Low
218,Brake,High
219,Sensor,Low
220,Battery,Medium
221,Engine,Medium
222,Battery,High
223,Engine,Medium
224,Sensor,High
225,Battery,High
226,Battery,High
227,Battery,Medium
228,Sensor,Low
229,Brake,Low
230,Engine,Medium
231,Battery,High
232,Sensor,Medium
233,Sensor,Medium
234,Brake,High
235,Brake,High
236,Sensor,Medium
237,Engine,High
238,Engine,Medium
239,Battery,Low
240,Sensor,Low
241,Sensor,High
242,Brake,High
243,Engine,Low
244,Brake,High
245,Sensor,Low
246,Brake,High
247,Sensor,Low
248,Sensor,Low
249,Battery,High
250,Brake,Medium
251,Brake,Low
252,Sensor,Low
253,Brake,High
254,Engine,High
255,Sensor,Medium
256,Sensor,Low
257,Engine,Low
258,Battery,Medium
259,Brake,Low
260,Battery,Low
261,Engine,High
262,Battery,Low
263,Sensor,Medium
264,Battery,Medium
265,Brake,Low
266,Sensor,Medium
267,Brake,High
268,Sensor,Medium
269,Brake,High
270,Engine,Low
271,Sensor,Low
272,Sensor,Medium
273,Brake,Medium
274,Sensor,Medium
275,Engine,Low
276,Engine,High
277,Engine,Medium
278,Brake,High
279,Brake,Medium
280,Sensor,High
281,Battery,High
282,Engine,Medium
283,Engine,Low
284,Brake,Low
285,Engine,Low
286,Engine,Medium
287,Brake,Medium
288,Sensor,High
289,Battery,Medium
290,Brake,High
291,Brake,High
292,Sensor,Low
293,Brake,High
294,Sensor,Medium
295,Engine,Low
296,Battery,Medium
297,Sensor,Medium
298,Brake,Low
299,Sensor,Low
300,Battery,Medium
301,Sensor,Medium
302,Brake,Medium
303,Battery,Medium
304,Engine,High
305,Engine,Medium
306,Battery,Low
307,Battery,Low
308,Battery,Medium
309,Sensor,Low
310,Sensor,Low
311,Brake,High
312,Battery,High
313,Brake,Low
314,Battery,Low
315,Sensor,High
316,Brake,Low
317,Engine,Medium
318,Engine,Medium
319,Battery,Medium
320,Battery,High
321,Engine,Low
322,Sensor,Low
323,Battery,Medium
324,Brake,Low
325,Battery,Medium
326,Engine,Medium
327,Sensor,Medium
328,Brake,Low
329,Brake,Medium
330,Sensor,High
331,Sensor,High
332,Sensor,High
333,Sensor,Medium
334,Sensor,Low
335,Sensor,Low
336,Sensor,Medium
337,Brake,Medium
338,Battery,Medium
339,Battery,Low
340,Sensor,High
341,Sensor,High
342,Brake,High
343,Brake,Medium
344,Battery,Low
345,Sensor,Low
346,Engine,High
347,Brake,High
348,Sensor,High
349,Brake,High
350,Sensor,Medium
351,Engine,Medium
352,Sensor,Low
353,Engine,Low
354,Engine,Low
355,Brake,Low
356,Engine,High
357,Engine,Medium
358,Brake,High
359,Engine,High
360,Engine,Low
361,Sensor,Medium
362,Brake,Medium
363,Engine,Medium
364,Engine,High
365,Sensor,High
366,Sensor,Low
367,Battery,Medium
368,Sensor,High
369,Sensor,Medium
370,Engine,Medium
371,Engine,Medium
372,Sensor,Medium
373,Sensor,High
374,Engine,High
375,Brake,High
376,Battery,Medium
377,Battery,Medium
378,Brake,High
379,Brake,High
380,Brake,Low
381,Brake,Medium
382,Sensor,Low
383,Engine,Medium
384,Brake,High
385,Sensor,High
386,Brake,Medium
387,Battery,Medium
388,Battery,High
389,Sensor,Medium
390,Brake,Low
391,Sensor,Medium
392,Battery,Low
393,Brake,Low
394,Brake,Low
395,Brake,High
396,Battery,High
397,Brake,High
398,Sensor,Low
399,Battery,Low
400,Battery,High
401,Sensor,Medium
402,Sensor,High
403,Sensor,Low
404,Engine,Medium
405,Sensor,High
406,Sensor,Low
407,Engine,Medium
408,Engine,Low
409,Battery,Low
410,Brake,High
411,Battery,Medium
412,Engine,Medium
413,Battery,High
414,Sensor,High
415,Sensor,High
416,Sensor,Low
417,Engine,Low
418,Sensor,Medium
419,Engine,Medium
420,Battery,Medium
421,Engine,High
422,Engine,High
423,Battery,Low
424,Battery,Medium
425,Battery,Medium
426,Engine,Low
427,Brake,High
428,Battery,Low
429,Sensor,High
430,Engine,Medium
431,Sensor,High
432,Engine,Low
433,Engine,Medium
434,Sensor,Medium
435,Engine,Medium
436,Battery,High
437,Engine,Low
438,Engine,Low
439,Sensor,Medium
440,Engine,High
441,Brake,High
442,Sensor,Low
443,Engine,Medium
444,Engine,High
445,Sensor,High
446,Brake,High
447,Engine,High
448,Sensor,Medium
449,Brake,Low
450,Battery,Medium
451,Brake,Low
452,Brake,Medium
453,Battery,Low
454,Engine,High
455,Sensor,High
456,Battery,Medium
457,Sensor,Low
458,Battery,Low
459,Brake,Medium
460,Sensor,High
461,Engine,Medium
462,Engine,Low
463,Sensor,High
464,Brake,High
465,Engine,High
466,Sensor,Medium
467,Battery,Low
468,Engine,High
469,Engine,High
470,Engine,High
471,Battery,High
472,Battery,Low
473,Sensor,Low
474,Battery,Low
475,Brake,Low
476,Engine,Low
477,Sensor,High
478,Battery,Medium
479,Brake,Medium
480,Engine,Medium
481,Sensor,Low
482,Brake,Medium
483,Battery,High
484,Brake,High
485,Engine,Medium
486,Brake,Medium
487,Engine,Medium
488,Engine,Low
489,Engine,Low
490,Brake,Medium
491,Sensor,Low
492,Battery,High
493,Sensor,Low
494,Engine,Low
495,Sensor,Low
496,Sensor,Low
497,Engine,Low
498,Battery,Low
499,Brake,Medium
500,Battery,Low
501,Brake,Medium
502,Sensor,Low
503,Brake,Medium
504,Battery,High
505,Brake,Medium
506,Engine,Low
507,Sensor,Medium
508,Battery,Medium
509,Sensor,Low
510,Battery,High
511,Sensor,Medium
512,Battery,Medium
513,Sensor,Medium
514,Sensor,Low
515,Battery,Medium
516,Engine,Low
517,Brake,Medium
518,Engine,Low
519,Battery,Low
520,Engine,High
521,Brake,Medium
522,Sensor,High
523,Sensor,High
524,Battery,Low
525,Engine,High
526,Engine,Low
527,Brake,Medium
528,Brake,High
529,Battery,High
530,Engine,Medium
531,Battery,Medium
532,Engine,Low
533,Sensor,Low
534,Engine,Medium
535,Battery,High
536,Engine,High
537,Brake,High
538,Engine,High
539,Engine,High
540,Sensor,Medium
541,Battery,Medium
542,Brake,High
543,Sensor,Low
544,Battery,High
545,Battery,High
546,Sensor,Low
547,Sensor,Medium
548,Sensor,High
549,Brake,Medium
550,Sensor,High
551,Battery,Low
552,Battery,High
553,Engine,High
554,Engine,Medium
555,Sensor,Medium
556,Sensor,High
557,Brake,High
558,Brake,Low
559,Battery,High
560,Sensor,Low
561,Brake,Medium
562,Sensor,Low
563,Engine,High
564,Battery,Medium
565,Brake,Low
566,Battery,Medium
567,Brake,Low
568,Battery,High
569,Engine,High
570,Sensor,Low
571,Engine,Medium
572,Brake,Low
573,Sensor,High
574,Brake,Medium
575,Battery,Low
576,Engine,Medium
577,Engine,Medium
578,Battery,High
579,Sensor,Medium
580,Battery,High
581,Brake,Low
582,Battery,High
583,Sensor,Medium
584,Brake,High
585,Brake,Medium
586,Brake,Low
587,Brake,High
588,Sensor,Medium
589,Brake,Medium
590,Engine,Medium
591,Battery,Low
592,Battery,Medium
593,Brake,Medium
594,Engine,High
595,Brake,Low
596,Brake,High
597,Brake,Low
598,Sensor,Medium
599,Sensor,Low
600,Battery,Low
601,Sensor,Medium
602,Engine,Low
603,Engine,High
604,Sensor,Medium
605,Engine,Low
606,Brake,High
607,Engine,Medium
608,Engine,High
609,Engine,High
610,Engine,Medium
611,Battery,High
612,Battery,Low
613,Sensor,Medium
614,Engine,Medium
615,Battery,High
616,Sensor,High
617,Brake,High
618,Engine,High
619,Sensor,High
620,Sensor,Medium
621,Brake,High
622,Brake,Low
623,Sensor,Medium
624,Engine,High
625,Engine,Low
626,Battery,Medium
627,Sensor,High
628,Battery,Medium
629,Sensor,High
630,Sensor,Medium
631,Sensor,Low
632,Engine,Medium
633,Engine,Low
634,Sensor,Medium
635,Brake,Low
636,Brake,High
637,Sensor,High
638,Battery,Medium
639,Engine,Low
640,Battery,Low
641,Battery,Low
642,Brake,High
643,Brake,High
644,Battery,Low
645,Battery,High
646,Battery,High
647,Brake,Medium
648,Battery,Low
649,Brake,Low
650,Engine,Medium
651,Engine,High
652,Battery,Medium
653,Battery,Low
654,Brake,Medium
655,Engine,High
656,Sensor,Low
657,Engine,High
658,Battery,Low
659,Brake,Low
660,Brake,Low
661,Battery,High
662,Brake,High
663,Sensor,Medium
664,Brake,High
665,Sensor,Medium
666,Battery,High
667,Battery,High
668,Sensor,Medium
669,Battery,Medium
670,Engine,High
671,Sensor,High
672,Sensor,Low
673,Battery,High
674,Sensor,High
675,Engine,Low
676,Engine,Low
677,Sensor,Low
678,Battery,High
679,Brake,Medium
680,Brake,Medium
681,Engine,Low
682,Brake,Low
683,Sensor,Medium
684,Engine,High
685,Battery,Low
686,Engine,High
687,Engine,Medium
688,Brake,Low
689,Engine,Medium
690,Sensor,High
691,Brake,High
692,Engine,High
693,Battery,Low
694,Battery,Low
695,Brake,High
696,Brake,Low
697,Engine,High
698,Brake,High
699,Sensor,Low
700,Brake,Low
701,Engine,Low
702,Sensor,High
703,Engine,Low
704,Battery,Medium
705,Sensor,Low
706,Battery,High
707,Sensor,High
708,Battery,Low
709,Sensor,Low
710,Engine,High
711,Sensor,Low
712,Brake,High
713,Battery,High
714,Battery,Low
715,Sensor,Medium
716,Sensor,High
717,Brake,Medium
718,Engine,High
719,Engine,High
720,Sensor,Low
721,Battery,Low
722,Sensor,Low
723,Engine,Low
724,Battery,Low
725,Battery,Low
726,Brake,Low
727,Sensor,Medium
728,Battery,Low
729,Brake,Medium
730,Engine,Low
731,Sensor,Low
732,Battery,Medium
733,Brake,High
734,Engine,High
735,Brake,Medium
736,Brake,Low
737,Brake,Low
738,Sensor,Medium
739,Engine,Medium
740,Battery,Medium
741,Engine,High
742,Battery,Low
743,Sensor,High
744,Sensor,Medium
745,Sensor,Low
746,Sensor,High
747,Sensor,Low
748,Battery,High
749,Sensor,Low
750,Brake,Low
751,Sensor,High
752,Engine,Low
753,Battery,High
754,Battery,Medium
755,Brake,Medium
756,Engine,Medium
757,Brake,High
758,Battery,Medium
759,Battery,Medium
760,Sensor,High
761,Engine,High
762,Battery,Low
763,Engine,Low
764,Brake,Medium
765,Sensor,Medium
766,Brake,Low
767,Sensor,Medium
768,Battery,High
769,Brake,High
770,Engine,Low
771,Battery,Low
772,Brake,Medium
773,Engine,Medium
774,Battery,High
775,Battery,High
776,Sensor,High
777,Battery,Medium
778,Battery,Medium
779,Sensor,Medium
780,Brake,High
781,Sensor,Medium
782,Brake,Medium
783,Battery,Low
784,Engine,Medium
785,Sensor,Low
786,Sensor,High
787,Engine,High
788,Battery,High
789,Sensor,Medium
790,Brake,Medium
791,Sensor,Medium
792,Sensor,Medium
793,Sensor,High
794,Sensor,Low
795,Battery,Low
796,Engine,High
797,Sensor,High
798,Brake,Low
799,Engine,High
800,Brake,Medium
801,Brake,High
802,Brake,High
803,Sensor,High
804,Sensor,Low
805,Brake,Low
806,Brake,Low
807,Brake,Medium
808,Battery,High
809,Engine,Medium
810,Sensor,Low
811,Battery,High
812,Battery,High
813,Battery,Low
814,Sensor,Low
815,Battery,Low
816,Sensor,Low
817,Engine,Medium
818,Battery,Medium
819,Sensor,Medium
820,Brake,Medium
821,Engine,High
822,Brake,Medium
823,Battery,Low
824,Battery,Medium
825,Sensor,Low
826,Brake,High
827,Sensor,Medium
828,Battery,Low
829,Battery,Medium
830,Sensor,High
831,Battery,Low
832,Battery,High
833,Engine,Low
834,Brake,High
835,Engine,Low
836,Battery,Medium
837,Engine,Low
838,Sensor,High
839,Brake,Medium
840,Battery,Medium
841,Brake,Low
842,Brake,High
843,Battery,Medium
844,Sensor,High
845,Engine,Low
846,Brake,Medium
847,Brake,High
848,Sensor,Medium
849,Battery,Low
850,Sensor,High
851,Sensor,Medium
852,Sensor,High
853,Sensor,Low
854,Sensor,Low
855,Battery,Medium
856,Battery,Medium
857,Sensor,Medium
858,Sensor,Medium
859,Engine,Low
860,Sensor,Low
861,Engine,High
862,Engine,High
863,Brake,Medium
864,Sensor,Low
865,Battery,High
866,Battery,Low
867,Brake,Medium
868,Sensor,Medium
869,Battery,Medium
870,Sensor,High
871,Sensor,Medium
872,Engine,High
873,Battery,High
874,Battery,Medium
875,Sensor,Medium
876,Battery,Low
877,Sensor,High
878,Sensor,High
879,Sensor,Medium
880,Engine,Medium
881,Sensor,Low
882,Sensor,Medium
883,Sensor,Low
884,Engine,Low
885,Engine,Low
886,Sensor,High
887,Sensor,High
888,Sensor,Medium
889,Sensor,Medium
890,Battery,Low
891,Brake,Medium
892,Battery,Low
893,Engine,High
894,Brake,High
895,Brake,Low
896,Engine,Low
897,Brake,Low
898,Engine,High
899,Battery,High
900,Engine,Medium
901,Sensor,High
902,Engine,High
903,Engine,High
904,Engine,Medium
905,Sensor,High
906,Brake,High
907,Sensor,Low
908,Battery,Low
909,Engine,Medium
910,Engine,Low
911,Brake,Medium
912,Brake,High
913,Engine,High
914,Engine,Medium
915,Engine,Low
916,Brake,Low
917,Sensor,Medium
918,Battery,Low
919,Engine,Medium
920,Engine,Low
921,Engine,Medium
922,Sensor,Low
923,Engine,High
924,Brake,Medium
925,Engine,High
926,Battery,High
927,Battery,Medium
928,Battery,High
929,Sensor,Low
930,Sensor,Medium
931,Sensor,Medium
932,Battery,High
933,Sensor,High
934,Engine,High
935,Engine,Medium
936,Sensor,Low
937,Brake,High
938,Brake,Low
939,Battery,Medium
940,Engine,Low
941,Sensor,Medium
942,Engine,Low
943,Engine,Medium
944,Sensor,Medium
945,Brake,High
946,Brake,High
947,Brake,Low
948,Engine,Low
949,Engine,Low
950,Brake,Low
951,Battery,Low
952,Brake,Low
953,Engine,Low
954,Engine,Low
955,Engine,Medium
956,Brake,Low
957,Engine,High
958,Brake,Medium
959,Engine,High
960,Sensor,High
961,Battery,Medium
962,Brake,High
963,Battery,Low
964,Engine,Medium
965,Sensor,Medium
966,Engine,Medium
967,Sensor,Low
968,Sensor,Medium
969,Engine,Low
970,Sensor,High
971,Brake,Low
972,Brake,Low
973,Battery,High
974,Sensor,Medium
975,Engine,High
976,Sensor,Medium
977,Battery,Medium
978,Engine,High
979,Engine,High
980,Brake,High
981,Sensor,High
982,Brake,Low
983,Engine,Low
984,Engine,Low
985,Engine,Medium
986,Sensor,Medium
987,Sensor,Medium
988,Battery,Medium
989,Battery,Medium
990,Sensor,Low
991,Battery,Medium
992,Sensor,Medium
993,Brake,Low
994,Engine,Medium
995,Battery,High
996,Battery,Medium
997,Sensor,High
998,Battery,Medium
999,Brake,Low
1000,Brake,High
1001,Brake,High
1002,Battery,High
1003,Brake,High
1004,Brake,Low
1005,Engine,Low
1006,Battery,High
1007,Engine,Medium
1008,Brake,Low
1009,Brake,High
1010,Engine,Medium
1011,Sensor,Low
1012,Brake,Medium
1013,Battery,Low
1014,Battery,Low
1015,Brake,Low
1016,Sensor,Medium
1017,Battery,Medium
1018,Battery,Medium
1019,Brake,High
1020,Brake,Medium
1021,Battery,Medium
1022,Sensor,Medium
1023,Brake,High
1024,Engine,Low
1025,Brake,Low
1026,Sensor,Medium
1027,Sensor,Medium
1028,Sensor,High
1029,Brake,Low
1030,Engine,Medium
1031,Sensor,Medium
1032,Brake,Low
1033,Battery,High
1034,Battery,Medium
1035,Sensor,Medium
1036,Battery,Medium
1037,Brake,High
1038,Battery,Medium
1039,Brake,Low
1040,Battery,Medium
1041,Sensor,High
1042,Sensor,Medium
1043,Sensor,High
1044,Battery,Low
1045,Battery,Medium
1046,Engine,High
1047,Brake,Medium
1048,Brake,Medium
1049,Sensor,Medium
1050,Sensor,High
1051,Brake,Medium
1052,Sensor,High
1053,Battery,Low
1054,Battery,High
1055,Engine,Low
1056,Battery,Medium
1057,Battery,Low
1058,Sensor,High
1059,Battery,Medium
1060,Sensor,Medium
1061,Brake,Medium
1062,Battery,Low
1063,Battery,Medium
1064,Brake,High
1065,Battery,Low
1066,Battery,Low
1067,Engine,High
1068,Battery,High
1069,Brake,Medium
1070,Battery,Low
1071,Engine,Low
1072,Battery,Medium
1073,Brake,Low
1074,Brake,High
1075,Battery,Low
1076,Brake,High
1077,Brake,Medium
1078,Sensor,Low
1079,Battery,Medium
1080,Battery,Medium
1081,Engine,Low
1082,Sensor,High
1083,Brake,Medium
1084,Engine,Low
1085,Brake,Low
1086,Brake,High
1087,Sensor,Medium
1088,Sensor,High
1089,Sensor,High
1090,Sensor,Medium
1091,Battery,High
1092,Sensor,Medium
1093,Brake,High
1094,Sensor,Medium
1095,Battery,Low
1096,Brake,Medium
1097,Battery,Medium
1098,Brake,Low
1099,Engine,Low
1100,Brake,Medium
1101,Engine,High
1102,Engine,High
1103,Battery,High
1104,Battery,High
1105,Battery,Low
1106,Brake,High
1107,Brake,Low
1108,Engine,High
1109,Brake,Medium
1110,Brake,Medium
1111,Brake,High
1112,Engine,Medium
1113,Battery,Low
1114,Engine,Medium
1115,Brake,Low
1116,Engine,Medium
1117,Engine,Medium
1118,Battery,Medium
1119,Battery,Medium
1120,Battery,Low
1121,Sensor,Medium
1122,Brake,Medium
1123,Engine,High
1124,Brake,Medium
1125,Battery,Medium
1126,Brake,Low
1127,Engine,Low
1128,Brake,Medium
1129,Engine,Medium
1130,Sensor,Medium
1131,Brake,Low
1132,Brake,High
1133,Battery,High
1134,Brake,Low
1135,Sensor,Low
1136,Engine,Low
1137,Brake,Low
1138,Engine,High
1139,Engine,Low
1140,Sensor,High
1141,Brake,Medium
1142,Engine,High
1143,Brake,Low
1144,Brake,Medium
1145,Engine,Low
1146,Brake,Low
1147,Sensor,High
1148,Sensor,High
1149,Battery,Medium
1150,Battery,High
1151,Sensor,High
1152,Engine,Low
1153,Battery,Low
1154,Sensor,High
1155,Engine,Medium
1156,Battery,Medium
1157,Sensor,Medium
1158,Engine,Medium
1159,Brake,High
1160,Battery,High
1161,Brake,Medium
1162,Engine,Medium
1163,Battery,Medium
1164,Brake,High
1165,Engine,Low
1166,Battery,Medium
1167,Brake,High
1168,Brake,Low
1169,Engine,Low
1170,Engine,High
1171,Brake,Low
1172,Brake,Medium
1173,Brake,Medium
1174,Sensor,High
1175,Engine,High
1176,Sensor,Medium
1177,Brake,High
1178,Brake,Medium
1179,Engine,Low
1180,Brake,Medium
1181,Engine,High
1182,Sensor,Medium
1183,Engine,Low
1184,Engine,High
1185,Brake,Medium
1186,Brake,High
1187,Brake,Medium
1188,Brake,High
1189,Battery,Medium
1190,Battery,High
1191,Battery,Low
1192,Sensor,High
1193,Brake,High
1194,Battery,Low
1195,Battery,Low
1196,Sensor,High
1197,Battery,High
1198,Battery,High
1199,Brake,Medium
1200,Brake,Medium
1201,Battery,Low
1202,Sensor,Medium
1203,Brake,Low
1204,Engine,Medium
1205,Brake,Medium
1206,Battery,Low
1207,Brake,High
1208,Battery,High
1209,Brake,Medium
1210,Brake,High
1211,Engine,Low
1212,Battery,Low
1213,Battery,Medium
1214,Sensor,Low
1215,Sensor,Low
1216,Sensor,Low
1217,Brake,High
1218,Engine,Medium
1219,Battery,Low
1220,Battery,Low
1221,Brake,Medium
1222,Battery,Medium
1223,Engine,Low
1224,Brake,High
1225,Sensor,High
1226,Sensor,High
1227,Brake,Low
1228,Sensor,Low
1229,Brake,Low
1230,Battery,High
1231,Battery,Medium
1232,Sensor,High
1233,Battery,High
1234,Sensor,High
1235,Sensor,Low
1236,Brake,Medium
1237,Engine,Medium
1238,Engine,Medium
1239,Engine,Low
1240,Brake,Medium
1241,Battery,High
1242,Sensor,Low
1243,Battery,High
1244,Sensor,Medium
1245,Battery,Medium
1246,Engine,Medium
1247,Battery,Medium
1248,Sensor,High
1249,Brake,Low
1250,Sensor,Medium
1251,Engine,Low
1252,Sensor,High
1253,Sensor,Medium
1254,Sensor,Low
1255,Brake,Low
1256,Brake,High
1257,Sensor,Low
1258,Engine,Medium
1259,Battery,Medium
1260,Engine,Medium
1261,Engine,Medium
1262,Engine,Medium
1263,Engine,Medium
1264,Engine,Low
1265,Engine,Medium
1266,Brake,Medium
1267,Battery,Low
1268,Sensor,Low
1269,Battery,High
1270,Brake,Low
1271,Engine,High
1272,Battery,High
1273,Battery,High
1274,Sensor,Medium
1275,Sensor,Low
1276,Brake,Medium
1277,Engine,Medium
1278,Battery,High
1279,Battery,Low
1280,Sensor,Medium
1281,Battery,High
1282,Battery,Low
1283,Sensor,Medium
1284,Sensor,Medium
1285,Engine,Low
1286,Engine,Low
1287,Battery,Medium
1288,Brake,Medium
1289,Engine,High
1290,Battery,Medium
1291,Engine,Low
1292,Sensor,High
1293,Sensor,Medium
1294,Battery,Low
1295,Battery,Medium
1296,Engine,Low
1297,Brake,High
1298,Battery,Low
1299,Battery,Medium
1300,Engine,Medium
1301,Brake,Low
1302,Sensor,Low
1303,Engine,High
1304,Battery,Medium
1305,Engine,Low
1306,Sensor,Low
1307,Sensor,Medium
1308,Battery,Low
1309,Brake,High
1310,Sensor,Low
1311,Battery,Medium
1312,Brake,Low
1313,Sensor,High
1314,Battery,Medium
1315,Sensor,Low
1316,Engine,Medium
1317,Sensor,Low
1318,Sensor,High
1319,Sensor,High
1320,Sensor,Medium
1321,Sensor,Medium
1322,Sensor,Low
1323,Sensor,Medium
1324,Brake,Low
1325,Battery,High
1326,Engine,Medium
1327,Sensor,Medium
1328,Sensor,High
1329,Battery,Medium
1330,Sensor,High
1331,Sensor,Low
1332,Engine,High
1333,Engine,High
1334,Sensor,Low
1335,Brake,High
1336,Engine,High
1337,Battery,High
1338,Sensor,High
1339,Brake,High
1340,Sensor,High
1341,Sensor,Medium
1342,Engine,High
1343,Brake,Medium
1344,Brake,Low
1345,Battery,Low
1346,Battery,Low
1347,Sensor,High
1348,Battery,High
1349,Engine,Low
1350,Engine,Medium
1351,Battery,Low
1352,Engine,High
1353,Battery,Medium
1354,Engine,Medium
1355,Brake,Medium
1356,Brake,Medium
1357,Battery,High
1358,Sensor,Low
1359,Sensor,Low
1360,Sensor,Low
1361,Battery,Low
1362,Battery,Low
1363,Battery,Low
1364,Engine,Low
1365,Engine,Low
1366,Engine,Low
1367,Battery,Medium
1368,Engine,Low
1369,Brake,High
1370,Brake,High
1371,Battery,Low
1372,Sensor,Low
1373,Engine,Low
1374,Engine,Low
1375,Sensor,High
1376,Engine,High
1377,Brake,Medium
1378,Brake,Medium
1379,Brake,Low
1380,Battery,High
1381,Engine,High
1382,Battery,Low
1383,Battery,Medium
1384,Sensor,Medium
1385,Engine,High
1386,Engine,High
1387,Battery,High
1388,Battery,High
1389,Engine,Medium
1390,Battery,Medium
1391,Sensor,High
1392,Battery,Medium
1393,Brake,Medium
1394,Battery,Medium
1395,Brake,Medium
1396,Brake,High
1397,Battery,Medium
1398,Brake,High
1399,Brake,Low
1400,Brake,Low
1401,Sensor,High
1402,Sensor,High
1403,Brake,Medium
1404,Battery,Low
1405,Battery,Low
1406,Brake,Low
1407,Sensor,Medium
1408,Battery,High
1409,Battery,Medium
1410,Engine,Low
1411,Engine,Medium
1412,Brake,Medium
1413,Sensor,High
1414,Engine,Medium
1415,Engine,Medium
1416,Engine,Medium
1417,Brake,High
1418,Sensor,Low
1419,Battery,High
1420,Brake,High
1421,Battery,Low
1422,Engine,Low
1423,Sensor,Low
1424,Brake,High
1425,Sensor,Low
1426,Brake,Medium
1427,Sensor,Low
1428,Sensor,High
1429,Brake,Medium
1430,Battery,High
1431,Engine,Low
1432,Battery,Medium
1433,Sensor,Medium
1434,Sensor,High
1435,Battery,Medium
1436,Brake,High
1437,Battery,Medium
1438,Brake,High
1439,Sensor,Medium
1440,Brake,High
1441,Battery,Low
1442,Brake,Low
1443,Battery,Medium
1444,Brake,Low
1445,Battery,Low
1446,Brake,High
1447,Battery,Low
1448,Battery,Medium
1449,Battery,Medium
1450,Brake,Medium
1451,Sensor,Medium
1452,Engine,Medium
1453,Battery,Medium
