warranty_event_id,vehicle_id,claim_cost,failure_confirmed
189,24952,2426.18,1
190,24808,3275.84,0
191,4460,1660.79,0
192,30501,1648.63,0
193,9651,2472.85,1
194,16601,986.04,1
195,5383,3258.02,1
196,22576,2706.78,1
197,2018,3816.82,0
198,31466,961.15,1
199,24291,3745.59,0
200,31663,4032.59,1
201,7540,1944.46,1
202,11488,514.76,0
203,7679,4155.3,1
204,26914,1456.8,0
205,27163,763.64,0
206,17921,1221.96,1
207,31690,3741.22,0
208,24552,1072.28,1
209,12850,2172.6,1
210,31901,401.34,0
211,3433,2821.5,0
212,33912,655.68,1
213,9237,1392.4,1
214,16282,4307.66,1
215,32035,3596.51,0
216,5770,735.05,1
217,13358,2211.27,0
218,14190,4841.58,0
219,2694,1614.27,1
220,11502,140.79,1
221,23195,3945.65,1
222,12625,2368.34,0
223,1566,3103.11,0
224,19585,773.1,0
225,29563,3343.23,1
226,8022,4944.14,0
227,33243,2469.53,0
228,19133,2213.7,1
229,27923,1682.09,1
230,315,1684.38,1
231,22166,4705.45,0
232,25226,1876.14,1
233,3148,3306.63,1
234,3547,1406.81,0
235,1825,2681.34,1
236,27449,714.64,0
237,21528,1173.56,1
238,34545,1009.58,0
239,1964,1862.82,1
240,18244,3473.31,1
241,28401,2119.64,0
242,9071,4506.02,0
243,21488,3949.36,1
244,5680,419.84,0
245,30429,2719.07,0
246,33858,2277.32,0
247,17864,1200.93,0
248,13600,1530.81,1
249,17583,3845.28,0
250,15271,4245.34,1
251,3627,4876.99,0
252,22435,2730.16,0
253,31897,4075.14,0
254,27174,1300.59,1
255,21570,1294.19,1
256,32459,2372.22,1
257,23281,4537.98,0
258,20419,2796.79,0
259,24717,2629.08,0
260,845,2132.49,0
261,19799,2773.3,1
262,9928,4761.04,0
263,2253,3924.33,1
264,27345,4567.73,0
265,31706,3107.59,1
266,22279,608.81,1
267,15065,662.26,1
268,8000,560.63,0
269,10910,2197.3,0
270,30102,1993.96,0
271,29825,3039.57,1
272,21678,4917.39,0
273,8275,2947.31,1
274,26513,2509.66,1
275,6363,3740.4,0
276,24156,1684.37,1
277,7072,3934.69,0
278,34546,2668.64,0
279,4246,1086.81,1
280,19867,4804.65,1
281,28731,1852.69,1
282,11346,2258.62,1
283,14108,832.38,1
284,21000,3831.43,1
285,34566,403.96,0
286,27659,4933.26,0
287,22477,3355.92,0
288,5240,1604.66,1
289,3926,2992.25,0
290,4678,4198.24,1
291,8744,3424.44,1
292,27213,1019.39,1
293,1369,1037.17,1
294,17038,2108.52,0
295,23792,4429.26,1
296,26368,4845.13,1
297,5640,2241.92,0
298,29095,1839.77,0
299,8799,1771.6,0
300,2573,2932.48,1
301,24726,1382.4,1
302,24085,1760.14,1
303,6086,3937.43,0
304,20673,365.42,1
305,2994,2194.81,1
306,22589,4740.41,1
307,594,1804.62,1
308,12211,3591.41,1
309,3473,2698.86,0
310,7303,3247.25,0
311,22589,3120.53,0
312,6316,1845.41,1
313,30813,3743.74,1
314,22676,777.59,0
315,8676,4888.38,0
316,929,2103.91,0
317,12775,2308.3,0
318,33789,3006.2,1
319,23016,1390.35,0
320,28837,2150.07,0
321,5289,297.19,0
322,12140,3170.67,0
323,19913,2702.2,0
324,9535,4741.46,1
325,12650,670.71,0
326,19584,3211.36,0
327,28289,4798.01,1
328,14849,4262.92,1
329,2309,285.53,0
330,21789,2677.61,0
331,14193,3518.57,0
332,32314,4609.57,0
333,26559,2028.54,0
334,18539,2064.23,1
335,22605,4128.55,0
336,11582,1520.34,0
337,21487,1382.09,0
338,21418,1745.44,0
339,15660,2615.63,0
340,10097,3145.96,0
341,33232,4872.42,1
342,10611,2606.04,0
343,12892,2405.37,1
344,4486,2532.41,0
345,27912,3718.26,1
346,29938,1973.32,1
347,6896,3800.31,1
348,21100,829.23,1
349,599,2902.96,0
350,34357,1317.62,1
351,29831,3772.64,1
352,18102,2601.39,1
353,13613,4482.36,0
354,31869,2399.68,0
355,17227,289.0,0
356,33283,2057.75,0
357,19600,4306.5,0
358,18083,2049.23,1
359,8598,1854.6,0
360,11444,515.57,1
361,26471,3797.98,1
362,25041,2034.1,1
363,29496,615.23,0
364,32990,2884.94,1
365,28425,526.31,0
366,4593,2825.68,0
367,5743,3367.9,1
368,22111,4247.24,0
369,29095,4888.84,1
370,31277,4098.33,0
371,18614,4454.72,0
372,9082,786.95,0
373,10388,1517.32,0
374,20871,2565.51,1
375,7834,4346.42,0
376,32215,3743.24,1
377,26338,2247.86,0
378,5928,145.17,1
379,2635,796.55,1
380,28728,3484.36,1
381,10376,4682.1,0
382,24472,4549.7,0
383,9054,978.83,0
384,10432,1503.78,1
385,19182,2361.85,1
386,32597,1141.76,0
387,29718,3862.14,1
388,34986,1856.61,1
389,33311,4642.96,1
390,34285,1147.98,1
391,21161,2807.22,1
392,16982,2987.91,1
393,27035,683.73,0
394,34487,4720.86,1
395,21110,1914.08,1
396,28917,2625.16,1
397,16773,3596.26,0
398,17557,2471.44,1
399,11275,2082.85,1
400,7238,1046.18,0
401,27458,2943.73,1
402,12528,1980.07,0
403,6220,253.51,0
404,17600,725.35,0
405,15682,916.61,1
406,31493,3164.16,1
407,19553,4697.23,0
408,19147,659.77,1
409,26414,1901.28,1
410,5980,3986.94,0
411,31035,3718.52,1
412,17673,1116.04,1
413,22115,1668.76,1
414,21705,1894.73,0
415,24650,3955.35,0
416,1008,3864.99,1
417,29170,4614.46,1
418,33112,286.52,1
419,26594,1407.84,0
420,7263,3700.93,0
421,12124,3365.35,1
422,22452,330.27,1
423,21328,892.49,0
424,16373,194.49,1
425,27409,3957.29,1
426,16261,178.88,0
427,2153,305.43,0
428,25395,2209.62,0
429,15298,3991.59,1
430,16405,3840.7,0
431,30993,1740.51,1
432,2783,1596.17,1
433,2270,1668.1,1
434,18794,319.42,1
435,31189,3197.61,0
436,1884,4820.13,0
437,1700,4711.53,0
438,14042,2245.39,1
439,15006,2969.81,1
440,878,3828.25,0
441,28820,1960.26,1
442,18133,3184.66,0
443,27558,1312.97,0
444,15703,1724.48,0
445,26575,2191.22,0
446,12909,539.5,0
447,34989,4956.64,1
448,12603,1332.25,1
449,30862,4950.17,0
450,23084,4756.07,0
451,26033,2012.53,0
452,22308,699.9,0
453,10658,3522.29,1
454,89,3019.07,0
455,15256,4106.5,0
456,2495,4445.53,1
457,34985,1298.47,1
458,20702,3907.12,1
459,4167,767.01,0
460,8540,4491.96,0
461,12917,3214.52,1
462,14723,3467.24,1
463,9257,500.61,0
464,19330,1454.96,1
465,22780,1442.23,1
466,11013,3743.43,1
467,33354,4598.91,0
468,7651,2806.01,1
469,8661,464.51,1
470,16743,2233.22,1
471,22551,4432.79,1
472,29113,4838.31,0
473,11644,2880.21,0
474,24694,964.03,1
475,32721,884.09,1
476,24665,1861.68,0
477,28521,3172.49,0
478,477,4129.27,1
479,15125,931.04,1
480,1680,229.42,0
481,17679,2140.76,0
482,9078,403.83,0
483,11991,2007.81,1
484,3353,419.41,0
485,25229,2455.1,0
486,10401,4998.88,0
487,12108,4576.09,1
488,25219,1176.43,0
489,11036,3117.33,0
490,2347,2299.48,1
491,20975,3641.95,0
492,20594,2056.45,1
493,22665,3730.24,1
494,14106,3182.05,1
495,25845,3625.37,1
496,14656,1411.23,0
497,14623,4331.33,1
498,23839,3201.52,1
499,28520,125.41,0
500,14792,3881.7,1
501,31673,300.59,0
502,20634,4097.75,0
503,18838,1296.2,1
504,2899,4599.99,1
505,30187,579.76,0
506,17054,939.52,1
507,16317,3980.38,0
508,22998,2276.02,0
509,6258,585.14,0
510,6327,4386.46,1
511,11024,2643.58,0
512,15044,733.73,0
513,26271,2367.92,0
514,23394,3246.37,1
515,24158,621.7,1
516,20704,476.94,0
517,1900,3279.31,0
518,12172,2616.16,0
519,3572,1156.84,1
520,21204,3183.97,1
521,1127,2602.23,1
522,12470,4974.42,1
523,14106,3401.2,1
524,26811,1000.86,0
525,13142,3610.76,1
526,3426,2132.21,1
527,11332,2612.02,0
528,16339,4701.6,0
529,30232,398.9,1
530,13858,4202.35,1
531,31180,3323.89,0
532,27165,2905.73,1
533,31397,3054.51,1
534,25871,4038.19,0
535,28497,2954.43,1
536,11947,518.96,1
537,21848,415.4,0
538,2323,3026.16,0
539,3420,2182.96,1
540,21594,324.39,0
541,20847,3490.58,0
542,5275,206.73,0
543,21714,289.4,0
544,25792,4844.48,1
545,15018,3817.22,0
546,13746,2344.07,1
547,13554,1040.63,1
548,11029,1516.11,0
549,2097,3103.48,1
550,18406,3098.46,0
551,22290,4723.18,0
552,12592,4464.37,1
553,24457,4536.04,0
554,9097,4519.92,0
555,27047,4381.4,0
556,9002,3583.67,1
557,3720,512.19,0
558,5723,1205.48,0
559,30084,4292.11,0
560,16457,2680.62,1
561,33073,3691.15,1
562,5595,864.92,0
563,4248,4039.17,0
564,7321,4304.45,1
565,9741,1497.55,1
566,22854,2908.18,1
567,539,4337.7,1
568,34234,890.12,1
569,3120,3938.59,1
570,22556,444.8,0
571,6179,3206.89,1
572,13178,4572.91,1
573,19560,2326.07,0
574,1494,2547.69,1
575,1214,4947.02,1
576,9788,3451.72,0
577,21522,1237.44,0
578,11874,1198.13,1
579,30948,2280.48,0
580,21289,2747.53,1
581,25174,472.82,0
582,25949,2245.26,0
583,34172,4360.36,0
584,19207,363.42,0
585,13340,344.81,1
586,2073,923.85,1
587,28390,4459.18,0
588,11298,2919.54,1
589,11707,1743.05,0
590,23440,979.35,0
591,21935,1435.83,1
592,16595,2166.17,0
593,26229,1614.96,0
594,28738,4955.21,1
595,15470,4413.03,0
596,24624,3924.66,1
597,3675,1036.24,0
598,15674,2611.22,0
599,1913,1819.86,0
600,25463,2074.36,1
601,24056,1060.77,0
602,9545,2444.21,0
603,23551,1884.78,1
604,2689,1607.21,0
605,24323,3466.33,0
606,10389,3587.89,1
607,16562,527.64,0
608,14041,1117.62,1
609,31333,3453.48,1
610,24851,2272.73,1
611,30188,3358.82,1
612,22041,4309.31,0
613,17736,2763.11,0
614,4388,2204.12,1
615,3835,3270.74,0
616,9961,147.05,0
617,34578,4515.49,1
618,9829,2187.93,1
619,30471,4239.32,0
620,14317,1570.49,1
621,5384,166.44,0
622,32932,4805.31,0
623,28462,4040.32,0
624,30363,1481.52,1
625,194,2179.97,1
626,32716,1704.09,1
627,23989,1504.69,0
628,27905,694.63,0
629,3071,1474.09,0
630,21710,4225.3,1
631,22425,4397.36,1
632,12680,1963.73,0
633,27373,821.69,1
634,2477,1864.67,0
635,779,1291.92,0
636,12422,3694.89,1
637,3811,1217.5,0
638,28124,4758.97,1
639,28160,2348.52,1
640,24457,511.57,1
641,20138,1137.2,0
642,13486,4002.48,0
643,16172,2455.29,0
644,30373,1274.68,1
645,31060,2678.82,1
646,10723,4881.13,0
647,18114,2381.56,0
648,12746,690.5,0
649,34352,4209.19,1
650,8765,140.64,1
651,25177,776.81,1
652,23994,1360.08,1
653,12449,892.14,0
654,20052,1108.39,0
655,23159,3282.71,1
656,18790,2071.77,0
657,512,1943.12,1
658,31410,4221.17,0
659,16025,3286.56,0
660,7690,3860.98,1
661,28062,3377.16,0
662,4482,2637.49,1
663,19333,2409.14,0
664,22465,4709.03,1
665,23861,1126.96,1
666,32945,1018.29,0
667,1434,2242.99,1
668,4961,2376.41,0
669,1495,1962.81,1
670,14815,4619.27,0
671,22232,3039.88,0
672,25874,1692.5,0
673,2898,3634.87,0
674,31090,3809.63,0
675,2350,3974.49,1
676,6557,4749.54,0
677,2861,3143.18,0
678,29933,2249.3,0
679,22352,2919.93,1
680,3223,4192.58,1
681,30662,2100.61,1
682,21132,4877.48,1
683,21856,2897.68,1
684,14190,3470.23,0
685,33594,4290.66,0
686,20376,2290.04,1
687,9991,1318.64,1
688,22773,3708.19,0
689,26712,397.61,1
690,34110,4372.49,1
691,5282,627.79,0
692,10185,4802.8,0
693,14483,2180.69,1
694,28453,2686.76,1
695,9119,560.59,0
696,7400,1093.29,0
697,34489,2945.15,1
698,23088,3792.07,1
699,8598,1727.23,1
700,22178,257.57,0
701,2292,2891.29,0
702,30808,2184.24,0
703,24349,2734.46,1
704,26627,1629.2,1
705,2685,3532.41,0
706,29551,1084.39,0
707,28297,3708.82,0
708,9983,1977.08,0
709,23015,1305.3,0
710,26404,448.68,1
711,13649,4529.86,0
712,6014,672.12,0
713,31165,1747.41,1
714,28521,2636.58,1
715,27087,187.85,1
716,22643,3896.01,0
717,15703,1607.09,0
718,817,2055.5,0
719,18769,1711.55,0
720,25770,942.3,0
721,12547,3908.54,0
722,30735,4938.31,1
723,22401,3268.59,0
724,33881,4410.17,0
725,26208,4899.78,1
726,10363,3913.83,0
727,34288,1730.61,1
728,28001,3510.51,1
729,1363,854.46,0
730,16557,4050.75,1
731,21605,4167.52,0
732,28323,4026.83,0
733,25606,3442.88,1
734,30785,219.77,1
735,5711,870.4,1
736,13017,1037.31,1
737,29378,1579.65,1
738,7171,2540.03,0
739,29739,3069.81,1
740,18467,3182.41,1
741,10562,2409.38,0
742,33801,3982.85,0
743,3282,4882.62,1
744,16996,4650.46,1
745,29199,2480.42,0
746,12020,1363.15,0
747,4466,480.17,1
748,11242,3147.8,0
749,13452,3373.32,0
750,9448,931.21,0
751,7175,4855.64,0
752,5370,3625.41,1
753,3320,107.99,1
754,855,1551.64,0
755,6660,1414.47,0
756,4412,472.93,0
757,15059,1356.74,0
758,23961,2277.24,1
759,15560,3328.54,0
760,24037,2959.58,1
761,3897,3794.74,1
762,24723,3887.14,1
763,29963,553.17,1
764,9147,2705.42,0
765,15317,4249.79,0
766,14503,799.27,1
767,997,3770.36,0
768,29032,4206.86,1
769,8452,2994.19,1
770,28646,4467.89,1
771,9441,4000.14,1
772,20771,3428.91,1
773,7867,4175.13,0
774,15244,3882.97,0
775,4411,3026.12,1
776,32088,3813.33,1
777,27523,3290.75,0
778,30755,2625.97,1
779,16157,3199.2,0
780,11816,542.78,0
781,17120,2188.2,0
782,33612,2119.11,1
783,14817,2587.36,1
784,2620,906.0,0
785,21557,1954.98,1
786,28718,2785.71,1
787,34844,2081.91,1
788,37,2868.86,1
789,16947,2022.98,1
790,31664,2582.75,1
791,814,1130.84,1
792,28486,3544.0,1
793,33699,2649.49,1
794,8201,4391.75,0
795,16105,1252.01,0
796,33744,2037.01,0
797,12892,3190.69,0
798,12402,2264.08,1
799,18322,1484.35,0
800,11383,3680.6,0
801,5759,4155.82,0
802,30023,105.0,1
803,2237,4240.22,0
804,1462,561.18,1
805,17244,3316.3,0
806,1855,4637.3,0
807,31890,617.1,1
808,23281,4689.09,1
809,16423,4514.69,0
810,10769,1493.71,0
811,32697,2371.82,1
812,29274,739.88,1
813,2776,531.81,1
814,4715,349.24,0
815,3159,1817.37,1
816,27770,3334.54,1
817,21583,4947.43,0
818,281,1975.7,0
819,34253,2104.56,1
820,14076,919.35,0
821,12950,251.9,1
822,33579,3394.17,0
823,13852,1011.93,1
824,5424,463.27,1
825,5703,4668.58,1
826,7365,3753.05,0
827,13066,2979.32,0
828,17849,2346.94,0
829,26313,885.07,0
830,31003,3062.89,1
831,25891,3955.13,0
832,696,981.65,0
833,28834,4454.16,0
834,33426,2806.75,0
835,13980,2936.12,1
836,3783,697.66,0
837,3692,1821.98,0
838,3730,1404.1,0
839,20603,4404.58,0
840,24092,856.99,0
841,12292,1966.91,1
842,4603,4998.88,1
843,12204,980.96,1
844,28713,3645.47,0
845,25783,389.55,1
846,8766,2490.78,0
847,32221,1289.77,1
848,13294,2956.8,0
849,12147,2503.37,1
850,21820,2623.74,1
851,14505,3875.73,0
852,11730,1779.52,0
853,22755,2698.66,1
854,10998,3740.67,0
855,6867,2318.94,0
856,31849,3669.96,1
857,10512,2722.01,1
858,15665,2460.98,1
859,12995,4213.73,0
860,13409,582.49,0
861,4521,3210.26,0
862,858,1512.17,1
863,12274,3077.11,0
864,32939,3140.0,1
865,1586,3773.17,1
866,24034,3727.61,0
867,17915,1385.18,0
868,34917,3870.44,0
869,29863,4905.52,1
870,33202,820.91,1
871,16751,4863.03,1
872,21662,3530.74,1
873,17757,3245.57,0
874,27765,3000.09,1
875,20111,3292.12,0
876,1935,1720.82,1
877,8923,3423.0,1
878,25051,596.54,1
879,34542,2672.57,1
880,20995,1788.45,0
881,21092,4021.26,0
882,23749,3453.5,0
883,28480,4705.55,1
884,13571,3985.02,0
885,23933,3736.88,1
886,21713,434.36,0
887,7722,4884.48,1
888,25409,179.16,1
889,9734,2628.15,1
890,27308,3777.05,1
891,306,2449.29,0
892,19903,2823.84,0
893,15379,446.15,1
894,29244,2651.29,0
895,18410,211.6,0
896,26285,610.3,0
897,31629,1897.76,0
898,16703,1735.83,1
899,12213,1348.75,0
900,8784,810.07,0
901,11250,3476.19,1
902,32506,994.01,1
903,25188,418.11,0
904,32550,4611.28,0
905,8608,1796.61,0
906,15583,1539.61,1
907,29182,4553.68,0
908,23878,3805.95,0
909,10253,2276.42,1
910,12996,2281.25,1
911,21390,4829.41,0
912,5674,4756.03,0
913,14054,3605.45,0
914,24919,4578.8,1
915,1303,3059.06,1
916,31233,3313.78,0
917,1039,835.88,0
918,18449,493.78,1
919,22001,1510.65,1
920,32800,2148.08,1
921,23778,1753.83,0
922,32833,2405.52,0
923,8514,1254.94,1
924,22650,4740.26,1
925,9717,3073.02,1
926,34099,2698.53,0
927,22024,867.25,0
928,17512,1592.84,0
929,32223,2095.34,1
930,25942,1094.66,1
931,15211,3290.37,1
932,1388,3435.91,1
933,31221,1263.79,1
934,17957,1946.72,1
935,9197,1569.25,0
936,12944,3724.88,1
937,18540,584.75,1
938,34277,2437.04,1
939,22868,749.25,0
940,15028,1430.98,0
941,17492,1030.88,0
942,21626,2301.06,0
943,27286,4963.32,0
944,24519,374.09,1
945,9817,1610.59,1
946,26889,2255.43,1
947,24606,114.96,0
948,6918,1318.01,0
949,31944,2706.73,0
950,18612,2606.37,0
951,15918,656.57,0
952,14412,4033.55,1
953,32915,1912.47,1
954,9925,4073.07,0
955,19751,142.1,1
956,12771,2790.13,0
957,30970,4573.36,0
958,34737,827.63,1
959,9458,2929.83,0
960,10743,1437.11,0
961,34585,2607.8,1
962,6359,4575.99,0
963,19437,3609.38,1
964,17602,2691.65,0
965,15453,4498.54,1
966,8196,4709.26,0
967,4807,3127.67,1
968,10271,4713.35,0
969,31543,4142.52,1
970,28682,3355.36,1
971,4012,2264.23,0
972,30581,1744.67,1
973,31150,4640.67,0
974,5622,4740.01,0
975,22261,2084.29,0
976,30915,2159.57,1
977,11413,3688.54,0
978,1389,4987.3,0
979,3401,1665.56,0
980,11084,3264.0,0
981,7773,3490.01,1
982,8019,2007.81,1
983,25777,1617.68,1
984,33900,3144.9,1
985,1750,1582.86,0
986,25702,3868.06,1
987,2360,4605.15,1
988,3849,3066.61,0
989,29288,2083.24,1
990,34186,1835.61,1
991,553,2641.36,0
992,13326,1455.22,1
993,2532,618.69,0
994,1251,2299.02,0
995,9596,222.57,0
996,25807,3437.72,1
997,18804,560.13,0
998,132,2821.21,1
999,8841,2508.22,1
1000,17863,1772.33,1
1001,6573,3474.36,1
1002,30374,650.79,1
1003,19986,1683.82,0
1004,32164,203.81,1
1005,26012,3197.16,1
1006,22042,1805.93,0
1007,1533,2238.05,1
1008,26130,3626.84,0
1009,24396,4442.33,0
1010,576,4171.14,1
1011,1189,1655.41,1
1012,31291,3004.45,1
1013,16895,1512.53,1
1014,13288,4732.97,1
1015,34649,468.96,1
1016,1958,2279.22,1
1017,7572,164.94,1
1018,4317,4022.38,0
1019,218,1696.01,1
1020,19441,2752.42,1
1021,32687,2407.94,1
1022,10330,1534.85,1
1023,17677,3743.48,0
1024,13978,4256.45,0
1025,34549,202.85,1
1026,29466,4266.77,0
1027,30744,147.03,0
1028,21214,2626.11,1
1029,11783,1875.68,1
1030,2486,2000.87,1
1031,30706,284.13,0
1032,32718,188.47,1
1033,15901,3616.06,1
1034,20819,2902.72,0
1035,34943,2384.95,0
1036,3959,4842.58,0
1037,22369,3623.42,1
1038,25593,4326.32,0
1039,10773,3837.89,0
1040,29692,3779.07,0
1041,11070,4466.41,0
1042,32794,1485.19,1
1043,10533,4528.41,0
1044,34722,4170.63,1
1045,23201,1016.79,1
1046,22686,1803.99,0
1047,20067,4613.05,0
1048,19375,2076.4,0
1049,34926,409.02,0
1050,9268,1970.51,1
1051,34095,622.99,0
1052,20725,1721.65,1
1053,27024,4120.2,0
1054,7508,1067.5,0
1055,31697,994.74,1
1056,25265,4272.68,0
1057,25831,4490.21,1
1058,14921,4421.77,1
1059,22350,4445.69,0
1060,10889,2745.45,1
1061,22153,3201.3,0
1062,18283,4821.41,0
1063,11859,4651.89,1
1064,31037,4168.98,1
1065,7337,3678.05,1
1066,13595,2295.83,0
1067,1983,953.98,1
1068,19227,2191.26,1
1069,24926,4264.7,1
1070,25301,2249.31,1
1071,17430,847.24,1
1072,22276,2047.62,0
1073,31163,4842.67,0
1074,9899,2602.84,1
1075,30987,1060.28,1
1076,25609,3091.01,0
1077,21798,3497.19,0
1078,32619,4527.37,0
1079,18384,2408.32,0
1080,22247,4444.48,0
1081,16858,3458.22,1
1082,2905,3523.51,1
1083,26680,876.91,1
1084,18006,4454.34,1
1085,3089,2533.89,0
1086,2481,4086.73,1
1087,8626,136.85,1
1088,17674,2452.81,0
1089,21725,3336.08,0
1090,21128,2387.9,0
1091,8894,4792.39,0
1092,716,911.94,1
1093,363,2130.1,1
1094,16132,1188.7,1
1095,32915,127.48,1
1096,6927,3904.21,0
1097,17668,4126.53,1
1098,13043,317.93,1
1099,1500,1574.07,1
1100,31148,4433.46,1
1101,27782,3532.03,0
1102,16018,2833.35,1
1103,6214,4929.96,0
1104,20767,3677.91,0
1105,16995,2689.02,0
1106,6866,926.5,0
1107,12681,2185.33,0
1108,10673,4700.92,1
1109,16832,1198.78,1
1110,30851,1072.01,1
1111,8734,3164.87,1
1112,13592,4699.99,1
1113,17017,3005.31,0
1114,28997,4933.69,0
1115,26394,4442.09,1
1116,6096,1031.49,0
1117,34593,2469.98,1
1118,21140,705.84,1
1119,28399,1719.02,1
1120,24934,3093.81,1
1121,17855,1022.37,1
1122,10241,373.43,1
1123,15469,3070.2,1
1124,15815,2088.07,0
1125,26560,448.59,1
1126,15324,286.61,0
1127,8902,1332.3,0
1128,778,1320.14,0
1129,15753,3021.65,1
1130,815,197.03,1
1131,4699,4128.77,1
1132,29651,1147.69,1
1133,28606,1957.69,0
1134,30639,1666.71,1
1135,15200,1888.62,1
1136,17842,1312.68,0
1137,34541,1226.36,1
1138,30915,242.79,1
1139,19963,4417.24,1
1140,32519,914.65,1
1141,11229,3714.78,0
1142,28803,2139.19,1
1143,7909,4034.02,1
1144,16310,2931.67,0
1145,31895,4356.21,1
1146,10887,1161.35,0
1147,30185,3002.79,1
1148,2939,659.9,0
1149,20697,1399.09,0
1150,32595,1451.82,1
1151,2192,828.6,1
1152,27356,1701.49,1
1153,10306,3512.6,1
1154,13019,4226.43,0
1155,29677,1471.24,0
1156,19686,4690.76,0
1157,16317,1166.84,0
1158,20075,678.92,0
1159,11852,4798.79,1
1160,25679,4587.0,0
1161,27142,1550.08,0
1162,28136,2352.04,0
1163,21367,1231.94,0
1164,27833,207.07,0
1165,20125,1988.68,0
1166,1158,411.55,0
1167,34701,3146.37,0
1168,1411,4137.0,1
