event_id,time_id,vehicle_id,part_id,failure_probability,predicted_days_to_failure
211,26696,4407,27982,0.205,33
212,4724,5626,3096,0.508,91
213,14010,21266,1004,0.47,72
214,7768,9739,28167,0.424,41
215,7795,28552,26108,0.326,42
216,34801,11121,13847,0.172,53
217,31263,3271,689,0.347,107
218,16609,6747,18826,0.238,166
219,22178,665,17116,0.897,179
220,26286,14194,11633,0.979,162
221,32825,20696,5061,0.848,117
222,26343,30816,31442,0.072,46
223,21753,14349,25125,0.018,83
224,17317,10186,15282,0.379,12
225,24085,9988,21890,0.177,155
226,6735,10625,21933,0.983,137
227,29868,20116,12064,0.4,64
228,1406,10590,29509,0.046,7
229,22492,7471,19354,0.943,16
230,1631,14563,11781,0.968,129
231,34104,1879,12265,0.62,3
232,14714,8812,28557,0.106,153
233,5015,17562,25617,0.553,107
234,8704,1515,1124,0.231,152
235,18841,636,17895,0.202,52
236,33293,8674,27582,0.832,2
237,3478,13537,5986,0.045,144
238,8557,19648,4420,0.839,115
239,24241,30853,26308,0.009,30
240,2552,27334,3557,0.969,99
241,25494,24897,31365,0.703,173
242,18523,19794,22283,0.066,141
243,23434,19826,23771,0.901,16
244,20446,32981,32642,0.783,8
245,7212,15103,22345,0.191,62
246,29759,29834,889,0.454,51
247,22836,27671,12576,0.522,107
248,33369,17216,16608,0.883,51
249,28137,7183,14049,0.645,125
250,25125,32496,21201,0.601,167
251,18208,26340,18393,0.416,155
252,21310,30877,15789,0.699,14
253,16050,24586,26710,0.979,71
254,16565,17129,15161,0.896,59
255,10538,18488,8985,0.375,139
256,33801,2836,1942,0.732,141
257,29698,945,11736,0.216,63
258,16081,15747,21126,0.231,143
259,21109,28540,20850,0.56,133
260,17148,32085,27045,0.048,12
261,1798,13460,24233,0.06,143
262,587,9661,14526,0.391,5
263,28800,8002,7597,0.2,73
264,5738,3054,13745,0.88,112
265,11861,11422,4137,0.918,24
266,33498,22333,15341,0.413,60
267,5256,15112,9750,0.912,168
268,9707,33636,20930,1.0,8
269,10663,7374,27868,0.528,142
270,34231,4121,14386,0.863,73
271,31076,34330,31003,0.087,38
272,3977,3075,30318,0.056,62
273,12044,18501,18618,0.011,39
274,3122,23317,15819,0.285,1
275,7045,17626,12650,0.991,12
276,13452,10089,19933,0.114,41
277,26771,18983,12097,0.367,93
278,11730,11575,19818,0.614,112
279,28859,9771,1911,0.7,89
280,34426,23200,27048,0.172,138
281,34915,34817,25030,0.914,94
282,32078,6046,31292,0.859,15
283,28567,20522,30315,0.082,81
284,33633,3576,4128,0.098,41
285,6648,18499,33979,0.03,139
286,19081,23284,34518,0.975,171
287,9383,9116,33966,0.79,81
288,27347,31254,5380,0.97,57
289,15050,24135,4279,0.517,145
290,3465,24671,12098,0.938,8
291,33967,11869,22634,0.083,28
292,893,10265,14383,0.301,128
293,30042,34503,2756,0.813,120
294,21358,11203,21017,0.203,70
295,34367,13311,3269,0.282,25
296,5158,23752,6902,0.094,80
297,19076,14650,33703,0.259,102
298,27838,26542,26707,0.791,16
299,9398,5926,4803,0.017,149
300,13574,14618,34860,0.737,153
301,1976,4797,12494,0.374,120
302,11671,10714,31819,0.551,9
303,17937,17534,32296,0.953,21
304,6843,10127,27208,0.946,178
305,33824,5634,34525,0.28,39
306,32668,19418,1854,0.459,141
307,22114,22879,22834,0.967,157
308,25448,23849,25413,0.482,86
309,14755,10555,8292,0.32,53
310,22176,11256,3578,0.426,6
311,18840,10181,11930,0.049,130
312,26365,12226,17779,0.646,175
313,2195,7519,34379,0.653,41
314,9697,29904,26099,0.564,64
315,15577,1324,19057,0.056,57
316,7057,15615,20168,0.258,8
317,12320,25994,33015,0.945,63
318,12524,12569,33791,0.514,120
319,27686,5567,34323,0.536,8
320,18222,18673,17828,0.55,17
321,7677,16040,8849,0.658,94
322,11182,4131,8517,0.824,20
323,23597,6661,1654,0.411,128
324,9114,21597,11334,0.243,143
325,18731,27085,6685,0.054,76
326,1958,24526,20054,0.64,53
327,29176,8534,26761,0.33,105
328,16615,10596,10,0.768,96
329,24493,29740,24827,0.544,123
330,13437,26067,24176,0.661,149
331,762,6576,34834,0.809,57
332,832,24890,16224,0.017,47
333,24875,11741,27888,0.561,74
334,23534,1369,16726,0.623,52
335,20220,33593,10309,0.061,125
336,22998,2560,17220,0.523,68
337,10211,11237,16635,0.789,100
338,15652,2852,4601,0.173,33
339,15326,19213,28292,0.575,103
340,32692,6345,21820,0.553,60
341,24514,16924,24456,0.445,45
342,5039,18836,33408,0.993,108
343,27304,29160,21777,0.472,28
344,34674,9631,20315,0.983,29
345,16829,13953,26951,0.285,84
346,32543,29712,13111,0.694,110
347,11417,34989,11307,0.429,116
348,29040,225,820,0.285,44
349,23454,6617,18036,0.374,10
350,29254,13206,32475,0.271,85
351,32266,24421,21347,0.641,161
352,25392,32356,6025,0.436,9
353,31072,5462,25258,0.525,153
354,7213,33805,1819,0.333,78
355,4,24131,25390,0.483,54
356,28268,21675,17186,0.233,37
357,26346,1672,14740,0.546,40
358,21302,27938,10461,0.464,138
359,6163,11080,11180,0.054,98
360,32669,32823,24151,0.551,1
361,31079,19955,9731,0.534,50
362,502,26858,7629,0.991,80
363,25856,9146,2565,0.333,144
364,3428,31006,3042,0.786,145
365,27148,16541,30228,0.343,151
366,24799,1246,11309,0.428,135
367,24446,2928,30796,0.252,105
368,21198,21145,2715,0.936,34
369,11797,18660,1695,0.108,63
370,9961,15581,4175,0.393,132
371,12108,13416,4254,0.514,98
372,18481,33212,23453,0.371,135
373,4014,31588,1242,0.734,75
374,29473,7623,13896,0.858,92
375,34368,9156,7194,0.273,157
376,725,11898,31936,0.832,139
377,31255,4952,19099,0.111,178
378,5777,14296,10800,0.408,71
379,8886,21850,33394,0.858,28
380,4564,2362,28153,0.905,72
381,34497,10993,19986,0.577,115
382,32397,24488,16024,0.071,9
383,27301,25235,2730,0.063,147
384,21569,34137,1719,0.299,177
385,526,20970,2553,0.524,41
386,19195,32173,25332,0.856,37
387,23159,26863,12788,0.508,72
388,26991,30188,29828,0.36,29
389,27409,1880,3957,0.9,55
390,32636,19640,7038,0.665,158
391,980,25691,17924,0.92,177
392,19894,81,9932,0.473,161
393,19387,22879,29627,0.33,44
394,34888,34615,6483,0.014,72
395,7434,3831,14183,0.955,109
396,4740,10337,32481,0.838,41
397,33496,6703,9500,0.691,7
398,5816,33987,4792,0.013,139
399,19031,34304,30758,0.892,2
400,18743,16577,25186,0.859,97
401,32253,19537,7162,0.178,15
402,10685,18432,22794,0.639,26
403,34188,16286,17238,0.262,123
404,34510,15884,32856,0.853,35
405,27814,19451,29636,0.931,40
406,21201,14305,25450,0.627,31
407,21104,22605,27840,0.754,91
408,15588,33745,17145,0.813,119
409,4380,6186,33187,0.742,26
410,30053,22691,18796,0.604,39
411,27220,19802,24478,0.597,168
412,10297,9155,1353,0.765,40
413,30584,20663,10387,0.169,19
414,26504,14790,32047,0.833,106
415,13129,13935,31930,0.389,69
416,16220,28853,16383,0.613,123
417,5677,32149,15141,0.012,128
418,24166,13364,14859,0.96,175
419,22051,5392,4588,0.575,22
420,30055,27975,9587,0.847,84
421,3845,30843,7095,0.331,161
422,34757,8942,7693,0.889,134
423,29667,28518,14343,0.747,155
424,2922,11166,11626,0.918,169
425,26394,26068,12236,0.657,158
426,26185,20496,26698,0.827,141
427,12797,2422,4106,0.708,10
428,13504,17871,10180,0.427,124
429,923,29728,21591,0.927,88
430,31294,32983,3308,0.921,41
431,34608,28333,11353,0.995,99
432,3949,10993,5238,0.775,74
433,24825,24353,1156,0.116,27
434,31364,17381,29200,0.704,149
435,5680,3951,9227,0.363,177
436,10365,33004,17125,0.485,37
437,2022,19799,14420,0.68,140
438,12224,26645,7352,0.337,169
439,20421,3719,33671,0.812,106
440,28447,872,32209,0.782,151
441,32269,30612,25454,0.029,168
442,1483,11381,8997,0.36,59
443,27173,24589,33879,0.341,81
444,29027,10119,10923,0.922,169
445,15784,8997,20912,0.129,51
446,26298,18651,17462,0.207,10
447,11678,11765,15407,0.343,48
448,34410,11307,30627,0.608,5
449,29689,30838,11649,0.776,28
450,15110,24603,13296,0.829,164
451,10925,15100,3713,0.637,92
452,34947,10565,3192,0.17,79
453,24761,34919,24158,0.824,106
454,2773,12814,8299,0.425,125
455,21037,32669,4617,0.461,91
456,27313,5636,27421,0.574,18
457,17853,10499,32025,0.284,55
458,25792,31375,11892,0.83,123
459,7841,8827,28288,0.926,98
460,2016,23668,12597,0.244,35
461,34450,18173,5532,0.602,6
462,25412,1213,33559,0.215,128
463,2304,7127,25112,0.02,113
464,2925,11703,4928,0.61,136
465,10286,33097,25231,0.98,110
466,23220,25274,9237,0.281,5
467,23666,24348,3072,0.544,46
468,21231,18267,10476,0.179,33
469,31800,33423,12450,0.346,102
470,26411,12394,29801,0.569,36
471,17706,400,9283,0.491,155
472,25619,10610,28160,0.999,86
473,24993,18415,625,0.385,68
474,7613,20631,4184,0.85,71
475,19113,30382,32197,0.994,125
476,3680,8011,10771,0.274,82
477,13816,31557,28237,0.999,10
478,14261,28810,15641,0.828,155
479,34641,19968,32357,0.37,120
480,2906,2606,6114,0.847,70
481,1606,34771,7196,0.149,5
482,20871,13570,10231,0.087,18
483,26293,1504,292,0.967,98
484,2745,29884,3567,0.762,11
485,2418,18581,30590,0.326,35
486,4345,27334,17179,0.771,15
487,5870,12870,26610,0.289,114
488,8361,15760,8337,0.044,179
489,24699,213,25797,0.381,23
490,14232,20181,23112,0.529,120
491,21434,22848,11837,0.975,76
492,4389,18182,21650,0.738,35
493,29175,1973,25841,0.604,85
494,5147,13405,31968,0.535,110
495,23682,9160,30294,0.32,151
496,393,4669,5930,0.324,165
497,19877,20827,25507,0.694,129
498,18207,3591,19704,0.471,159
499,12757,23657,14212,0.475,142
500,19157,1791,27917,0.706,43
501,22328,2049,20496,0.501,47
502,25551,30714,29929,0.107,97
503,17167,32635,6286,0.951,47
504,28826,2509,15603,0.929,143
505,8960,11807,15978,0.563,79
506,18737,28610,31370,0.337,68
507,14444,5006,30738,0.435,138
508,20248,3239,28708,0.268,10
509,33109,5509,22834,0.31,117
510,22158,169,28847,0.435,93
511,5234,4986,17997,0.911,50
512,4674,7647,16886,0.865,137
513,9941,32451,32224,0.515,137
514,34819,33601,34271,0.509,179
515,12310,19565,32058,0.28,6
516,20235,30569,10201,0.732,101
517,28095,18809,22556,0.074,51
518,5759,28774,32211,0.505,8
519,23569,34787,24161,0.586,62
520,2312,15434,2152,0.24,76
521,14498,11652,17158,0.788,176
522,34113,6978,5807,0.98,75
523,142,7090,5368,0.489,142
524,33403,28938,8876,0.759,55
525,900,28454,20573,0.732,67
526,24110,4426,6078,0.622,99
527,17112,31609,10964,0.717,6
528,7341,14945,9827,0.984,97
529,19914,503,22583,0.443,84
530,2074,32119,21149,0.511,110
531,31647,9403,11434,0.609,124
532,27306,32066,11454,0.205,77
533,28968,27336,33374,0.846,38
534,3827,32643,23732,0.77,77
535,32745,24266,4670,0.25,160
536,18762,32733,5165,0.877,157
537,3656,5299,21781,0.851,72
538,6959,19411,26930,0.728,36
539,32654,27512,1150,0.692,113
540,1659,27270,7519,0.652,176
541,28347,12102,18354,0.558,160
542,17147,34212,15408,0.779,6
543,25693,8032,23065,0.926,13
544,32831,12609,34847,0.476,86
545,23946,12061,10337,0.306,72
546,11609,3053,2437,0.015,174
547,17171,27841,14795,0.217,19
548,16517,4439,7666,0.262,115
549,25719,21839,22714,0.799,66
550,11132,17529,25735,0.346,3
551,13760,23052,15140,0.976,150
552,13830,8274,24291,0.479,40
553,24757,31493,18022,0.508,13
554,16329,30119,3836,0.297,113
555,17730,12588,30425,0.754,34
556,29357,14256,17003,0.378,47
557,17865,718,14159,0.443,12
558,15131,14389,31120,0.849,58
559,22857,13001,17331,0.378,84
560,32758,20528,31697,0.579,36
561,23256,28258,1251,0.908,174
562,23399,28565,914,0.412,98
563,32332,11179,13139,0.096,23
564,9776,24947,21422,0.014,158
565,28522,25887,1879,0.311,49
566,22721,9507,3627,0.799,51
567,31484,23290,25040,0.822,56
568,4004,11409,33492,0.17,42
569,25879,5624,29071,0.73,148
570,31560,27067,19811,0.142,172
571,13462,3805,34415,0.331,8
572,2642,9259,12982,0.25,81
573,8367,16865,28490,0.579,12
574,2141,3234,23791,0.401,28
575,24406,2432,10735,0.699,126
576,6283,34007,1067,0.706,88
577,23046,16449,25442,0.137,69
578,8841,11822,2182,0.737,83
579,21651,18909,6794,0.68,129
580,15686,21488,4676,0.344,122
581,9095,23188,7042,0.907,18
582,9827,15706,34297,0.133,7
583,9400,17981,19222,0.007,88
584,2886,29804,7625,0.269,84
585,10655,12336,24839,0.751,106
586,25797,32404,19866,0.563,113
587,33932,23218,32301,0.253,47
588,6613,30060,21387,0.322,5
589,17530,4815,25447,0.009,154
590,2702,33024,3659,0.077,164
591,25220,6544,12598,0.405,106
592,28328,13781,32950,0.942,48
593,3033,24733,33794,0.738,12
594,2487,3858,2212,0.956,145
595,18811,14087,4533,0.34,69
596,9887,10497,27204,0.093,154
597,10871,23207,33221,0.714,47
598,32238,12306,17853,0.83,141
599,13674,8572,20196,0.45,13
600,20990,19864,25731,0.992,114
601,11409,33868,18838,0.461,56
602,28500,22928,22057,0.73,82
603,29103,734,6658,0.05,166
604,16581,26961,34173,0.626,122
605,15965,7618,4669,0.075,144
606,7545,21223,3990,0.544,144
607,22340,2268,27083,0.081,19
608,21094,4837,4604,0.376,118
609,1530,9853,24135,0.556,55
610,12039,241,26526,0.641,90
611,12598,30659,2598,0.636,78
612,24866,30979,13983,0.148,91
613,11586,377,6048,0.798,116
614,16919,18611,7695,0.131,109
615,1080,34629,6268,0.658,111
616,12922,11303,5682,0.41,81
617,4946,27565,7141,0.524,155
618,31263,11022,9326,0.386,125
619,31622,15363,33366,0.186,165
620,2400,29946,21290,0.837,82
621,4764,7699,1563,0.732,84
622,30644,15964,28959,0.604,154
623,4602,5870,19267,0.976,104
624,21841,21422,8036,0.261,50
625,24400,15785,5364,0.227,112
626,11355,3488,26329,0.529,24
627,19897,7850,10577,0.912,95
628,28060,15145,21565,0.873,93
629,26841,5069,30696,0.319,51
630,33326,27232,632,0.596,18
631,25494,21264,31498,0.761,86
632,1103,21173,31239,0.715,129
633,2468,11451,2345,0.274,16
634,30919,10838,30087,0.354,110
635,26045,15726,33496,0.272,142
636,10718,9604,2411,0.161,173
637,29337,10867,9109,0.072,55
638,24749,15781,12143,0.875,81
639,8467,19512,22689,0.795,154
640,16355,14039,12238,0.412,78
641,16760,10282,21440,0.788,143
642,29345,9883,3433,0.368,120
643,19840,31018,14316,0.037,165
644,26732,25983,9812,0.233,139
645,26859,34067,31913,0.793,14
646,16885,32178,23173,0.772,150
647,34951,31274,30053,0.141,23
648,16887,18009,18239,0.585,149
649,25302,16360,8263,0.331,179
650,4655,3042,16692,0.306,154
651,33711,13131,20072,0.888,42
652,10658,939,4771,0.323,75
653,19423,27969,29889,0.65,24
654,4617,19597,11431,0.09,136
655,12228,30327,13500,0.521,102
656,32041,34528,27162,0.952,143
657,34121,20172,12592,0.89,49
658,15381,14605,2699,0.754,64
659,32586,4469,30445,0.346,58
660,19521,11532,33723,0.722,9
661,5300,25744,11721,0.987,90
662,24335,30617,6979,0.968,52
663,3612,3339,20526,0.46,50
664,29282,32008,6442,0.308,114
665,18318,17903,2440,0.084,54
666,3018,25998,31504,0.686,9
667,24982,680,9554,0.365,29
668,2131,410,6814,0.755,49
669,11008,30167,28210,0.984,42
670,21383,11740,15019,0.779,136
671,24332,10166,30518,0.783,87
672,33408,33163,29351,0.926,9
673,20342,12811,16737,0.798,163
674,1802,25248,18465,0.713,56
675,21584,26373,9380,0.457,140
676,13809,25809,18937,0.554,84
677,15530,12156,22839,0.24,135
678,1011,26682,23578,0.031,114
679,21740,16767,22211,0.095,23
680,17425,3212,10529,0.492,59
681,1601,4521,19163,0.006,174
682,23741,4539,7213,0.236,96
683,2494,22416,9829,0.474,39
684,34138,2106,8003,0.692,110
685,26549,20582,11096,0.406,1
686,17960,32096,8060,0.614,62
687,15163,30831,28056,0.111,137
688,5665,32367,31379,0.357,38
689,21992,21664,8092,0.083,39
690,11446,24682,32765,0.212,65
691,19038,11554,29312,0.466,146
692,19943,21159,1222,0.63,34
693,24362,20943,28702,0.574,61
694,20915,18973,34273,0.252,144
695,18741,15798,829,0.699,126
696,8159,15314,26876,0.564,55
697,9547,27583,17306,0.555,105
698,26572,13222,33224,0.89,49
699,6968,4698,13488,0.291,76
700,6412,31648,14850,0.626,158
701,28204,28260,5517,0.659,19
702,18360,8793,27543,0.928,127
703,29755,25720,5813,0.615,138
704,28208,26446,12165,0.238,58
705,1438,28399,22254,0.152,18
706,15493,25041,25743,0.233,68
707,33630,23726,3900,0.87,27
708,1174,30471,29546,0.819,29
709,23035,34756,32733,0.897,169
710,12597,7701,27561,0.475,106
711,15332,17767,19219,0.676,77
712,6338,34522,22211,0.111,127
713,11103,8137,21151,0.243,97
714,27041,32369,30353,0.75,132
715,7212,13074,21903,0.245,53
716,4797,13331,302,0.345,171
717,29291,8095,19033,0.372,25
718,28477,1777,13303,0.543,40
719,8704,15612,34445,0.104,147
720,31485,28185,15898,0.756,114
721,20287,24316,26642,0.008,40
722,12746,2873,32879,0.974,127
723,21028,34143,19322,0.179,165
724,33853,23302,4042,0.228,140
725,4057,33610,23356,0.487,156
726,9937,13883,19405,0.322,135
727,6391,29366,21150,0.1,19
728,5241,34671,32940,0.177,144
729,12006,32763,17901,0.13,31
730,3825,7401,19540,0.321,119
731,524,669,24709,0.852,13
732,21685,3804,27283,0.245,168
733,1867,8122,16544,0.567,61
734,22255,14162,28307,0.012,75
735,14334,13811,8842,0.618,106
736,15150,18672,34420,0.023,35
737,32941,28400,17645,0.194,72
738,31854,20300,25036,0.861,3
739,27221,14564,14753,0.549,70
740,10232,2314,22251,0.509,118
741,3672,669,20816,0.27,71
742,29149,15907,29692,0.537,131
743,2913,17627,22054,0.079,133
744,16784,34177,31093,0.341,93
745,31809,9519,25540,0.368,85
746,18898,6021,7140,0.191,20
747,9685,33398,20663,0.25,147
748,12698,17280,23010,0.867,113
749,2324,29167,3076,0.089,119
750,2363,6510,17224,0.794,17
751,13494,20178,28305,0.081,77
752,24908,13393,15551,0.617,159
753,27908,24954,9286,0.35,38
754,5825,6181,3655,0.795,50
755,34434,15079,23433,0.326,80
756,23769,32368,1230,0.955,89
757,7429,12430,19127,0.818,74
758,576,29391,14,0.681,9
759,4698,8005,34218,0.285,21
760,24605,16415,33612,0.664,43
761,32479,19543,8049,0.444,153
762,20098,16034,29048,0.848,94
763,31290,22064,27006,0.552,94
764,33300,4126,12662,0.006,35
765,21522,28461,26375,0.179,49
766,6604,29579,25035,0.806,98
767,27441,9278,21487,0.984,27
768,18298,25070,10001,0.043,57
769,12688,22704,24263,0.066,115
770,25919,9163,20943,0.198,116
771,13188,16437,901,0.378,170
772,19329,15484,5913,0.263,131
773,4493,29703,24818,0.144,22
774,17921,26490,29860,0.68,8
775,21292,2766,26468,0.075,35
776,26704,6880,18732,0.051,95
777,22721,34210,19832,0.115,39
778,28963,32176,15956,0.99,161
779,22821,11736,11047,0.535,89
780,32417,27695,1565,0.18,97
781,1034,9893,21800,0.561,138
782,25130,12091,11740,0.24,102
783,11279,20314,10554,0.267,115
784,5942,24292,29045,0.247,91
785,12845,14386,32635,0.699,32
786,26147,29272,1343,0.695,95
787,12244,24467,23952,0.709,44
788,6272,20720,3891,0.939,133
789,4572,6020,26617,0.196,32
790,19960,19838,936,0.505,47
791,31822,34505,20863,0.979,123
792,23825,6608,15142,0.668,52
793,15985,33349,32418,0.52,113
794,13462,27669,28125,0.273,81
795,23914,5594,469,0.469,66
796,18487,6039,344,0.578,88
797,14862,5818,16339,0.009,73
798,9805,24362,9938,0.627,157
799,27787,34775,34970,0.657,14
800,2349,26024,23785,0.081,119
801,27650,14757,22048,0.411,86
802,8158,10661,29415,0.456,179
803,7449,31493,13809,0.749,179
804,1598,16287,10904,0.75,13
805,11124,20652,18734,0.376,27
806,30551,20777,25949,0.332,156
807,32587,31731,2507,0.092,163
808,22925,1712,31744,0.276,28
809,17919,15768,30437,0.521,9
810,13414,14916,27245,0.734,176
811,28635,30652,17100,0.104,18
812,6633,1306,28272,0.781,53
813,31955,4438,183,0.636,39
814,30494,1084,3448,0.978,116
815,6925,33106,6661,0.519,13
816,14834,3820,32946,0.003,2
817,18418,6373,13504,0.342,178
818,32177,11943,29254,0.562,170
819,33311,17459,25171,0.66,165
820,2215,5000,6669,0.876,139
821,21641,13160,19492,0.84,35
822,24768,18243,25303,0.211,162
823,13884,19578,13883,0.204,32
