investment_event_id,region_id,predicted_budget,roi_prediction
82,9375,291169.62,0.49
83,1801,253336.78,0.64
84,10372,423750.42,0.38
85,399,292083.39,0.55
86,31457,185758.5,0.71
87,3893,94058.57,0.34
88,25993,415603.52,0.16
89,29955,312346.64,0.39
90,23365,135944.63,0.89
91,9264,431157.42,0.63
92,3020,293848.45,0.33
93,25873,125569.52,0.5
94,32046,451984.6,0.86
95,9223,240488.01,0.47
96,32416,431404.13,0.72
97,11513,358756.53,0.88
98,17392,430140.08,0.24
99,6364,155645.37,0.39
100,32213,299002.6,0.52
101,29265,267503.07,0.87
102,14029,373407.35,0.67
103,32617,395884.65,0.54
104,11812,97327.1,0.74
105,31060,152398.39,0.7
106,33,269179.07,0.28
107,33830,203389.14,0.84
108,24019,246832.33,0.58
109,8638,123756.35,0.7
110,311,15512.67,0.63
111,20931,249005.51,0.34
112,19100,163359.18,0.82
113,13953,448110.05,0.71
114,11663,317979.57,0.75
115,33029,15470.28,0.14
116,641,154269.46,0.58
117,11743,176743.72,0.18
118,18717,210565.66,0.23
119,22206,449370.15,0.72
120,2872,54452.99,0.17
121,23732,219263.02,0.43
122,15597,55605.47,0.36
123,12796,474671.72,0.73
124,31061,122001.7,0.46
125,11331,73778.29,0.58
126,33204,35870.01,0.21
127,29675,418446.04,0.82
128,32425,397707.72,0.13
129,22365,468000.86,0.24
130,13112,292762.66,0.45
131,6472,229133.87,0.32
132,18050,498868.53,0.62
133,9423,69451.82,0.42
134,26198,230899.47,0.82
135,12482,247585.97,0.34
136,20425,354558.84,0.36
137,4952,55591.4,0.8
138,323,220956.31,0.87
139,5462,321536.62,0.31
140,27491,455015.63,0.23
141,28014,352560.6,0.83
142,30859,115800.46,0.41
143,1006,371957.71,0.2
144,19475,225702.06,0.7
145,16973,130315.67,0.85
146,9487,86335.36,0.53
147,10517,169565.51,0.64
148,9251,447676.66,0.16
149,13572,138723.87,0.32
150,33717,75967.97,0.6
151,34054,267774.24,0.77
152,4040,111678.61,0.74
153,29745,135799.49,0.15
154,25443,57997.32,0.89
155,10876,308992.48,0.59
156,26254,489399.84,0.63
157,20445,164201.13,0.39
158,25687,260756.34,0.63
159,8911,453063.0,0.17
160,9567,82431.56,0.49
161,7539,172201.27,0.39
162,13158,328765.55,0.29
163,26476,17689.38,0.24
164,12864,19919.13,0.79
165,20069,17313.54,0.15
166,20736,111249.82,0.83
167,2359,29386.75,0.28
168,7156,256252.96,0.3
169,27672,126168.61,0.84
170,31186,158099.09,0.45
171,18181,386822.59,0.59
172,8208,213201.91,0.13
173,17681,451383.21,0.17
174,28034,324671.94,0.32
175,19689,190531.0,0.61
176,20502,264248.59,0.19
177,23920,327482.28,0.19
178,9827,249608.12,0.43
179,6701,200435.73,0.39
180,2459,363945.56,0.77
181,14495,101634.28,0.74
182,22185,51135.78,0.53
183,33324,170950.77,0.3
184,25524,260240.33,0.36
185,28049,83643.79,0.54
186,27905,169307.14,0.43
187,4961,296418.78,0.11
188,11565,270209.61,0.65
189,17308,106209.22,0.76
190,26885,250102.38,0.74
191,33085,60731.84,0.68
192,18039,99003.45,0.32
193,8880,132367.07,0.73
194,13736,434475.43,0.5
195,26836,120006.94,0.42
196,8884,76723.2,0.51
197,21069,335334.44,0.48
198,26233,480515.56,0.59
199,13877,459341.32,0.7
200,11606,269664.43,0.6
201,3027,182227.89,0.1
202,8660,307199.18,0.46
203,17146,181841.73,0.7
204,32146,103388.61,0.31
205,7175,78254.82,0.44
206,20491,395787.26,0.31
207,26011,298577.52,0.82
208,27347,393969.73,0.45
209,28353,139920.07,0.36
210,11476,281499.69,0.77
211,11834,64193.69,0.5
212,27145,74558.06,0.27
213,22895,90271.19,0.69
214,17012,156837.95,0.75
215,23670,161237.65,0.56
216,2180,42915.49,0.4
217,1742,119209.7,0.12
218,18324,493426.78,0.32
219,29509,275882.55,0.43
220,12527,389836.57,0.37
221,27858,240811.03,0.36
222,15788,238082.9,0.57
223,8506,371801.67,0.17
224,13111,88506.82,0.42
225,21389,61097.73,0.41
226,7447,473085.44,0.63
227,28158,269688.77,0.22
228,8750,373730.95,0.61
229,3072,130224.82,0.36
230,4731,59149.11,0.3
231,17109,205709.59,0.79
232,7791,462327.75,0.42
233,6428,25479.26,0.7
234,23933,222623.14,0.61
235,8107,174995.1,0.88
236,10517,100157.0,0.2
237,12946,163985.43,0.51
238,6460,57295.04,0.52
239,1822,167613.92,0.5
240,23010,184932.41,0.75
241,19655,81809.77,0.53
242,8649,250514.28,0.68
243,4474,125828.6,0.42
244,20239,400804.39,0.62
245,24896,21137.59,0.29
246,8368,83491.54,0.79
247,3520,448606.15,0.7
248,10222,364880.56,0.6
249,3314,57932.36,0.5
250,11556,116191.08,0.15
251,6949,13204.09,0.83
252,20842,296199.14,0.1
253,32002,370353.42,0.23
254,23635,120552.75,0.25
255,26440,356767.41,0.86
256,23430,223438.83,0.21
257,32530,176893.27,0.87
258,16724,394184.4,0.37
259,16312,330787.16,0.36
260,19433,112039.47,0.32
261,14614,109958.13,0.54
262,29681,171344.85,0.3
263,16942,240628.21,0.25
264,22256,399588.26,0.49
265,12999,17510.14,0.84
266,21507,179261.48,0.1
267,8872,218984.93,0.36
268,4205,89492.96,0.72
269,7827,457267.13,0.62
270,27046,335013.52,0.67
271,34678,476351.33,0.61
272,27395,136817.24,0.11
273,16550,196837.66,0.31
274,14540,249886.01,0.65
275,34238,323421.4,0.71
276,8557,199881.11,0.69
277,5700,462829.58,0.61
278,12180,499263.36,0.25
279,33484,138796.53,0.66
280,3276,21246.64,0.7
281,60,401842.26,0.61
282,3429,296004.41,0.77
283,5041,493884.93,0.86
284,33898,92852.29,0.69
285,25553,409272.68,0.83
286,5728,170938.74,0.74
287,15815,11678.29,0.45
288,10304,360627.08,0.18
289,10575,61377.1,0.52
290,20202,325798.8,0.11
291,22384,482475.3,0.43
292,20314,460266.42,0.38
293,26690,383096.35,0.63
294,13749,179392.05,0.81
295,3111,423926.48,0.6
296,5329,218324.15,0.28
297,22959,61187.71,0.9
298,19977,301245.46,0.85
299,7661,364099.87,0.77
300,21513,248970.7,0.32
301,27358,110294.53,0.76
302,26789,217263.07,0.2
303,9517,250383.62,0.56
304,6000,208101.67,0.56
305,29778,198886.5,0.75
306,11244,361328.71,0.34
307,9612,195799.25,0.76
308,21810,147420.18,0.84
309,5639,299673.75,0.37
310,26769,161424.16,0.57
311,16082,120829.38,0.19
312,33832,92518.36,0.48
313,2210,418152.15,0.77
314,28501,245027.3,0.53
315,3500,415939.05,0.25
316,32460,41813.64,0.69
317,3149,205064.66,0.55
318,16857,210367.51,0.26
319,4930,54521.12,0.38
320,10188,226747.96,0.79
321,19681,308926.02,0.45
322,14448,262574.07,0.76
323,6271,48976.07,0.44
324,25717,148026.46,0.6
325,18179,44278.21,0.23
326,31234,244665.38,0.25
327,25499,215514.49,0.26
328,9034,167397.75,0.78
329,9254,20451.79,0.78
330,9042,469215.12,0.73
331,1423,62368.07,0.78
332,11978,477068.04,0.38
333,25443,46487.41,0.68
334,23208,206778.65,0.41
335,30102,445170.9,0.86
336,34141,12965.68,0.74
337,4800,261812.16,0.63
338,25012,162712.99,0.24
339,33760,197229.39,0.29
340,14177,17753.71,0.14
341,1604,124309.95,0.85
342,15362,157003.88,0.36
343,3479,271119.05,0.43
344,25712,189748.93,0.2
345,7768,126975.14,0.52
346,9900,363153.92,0.53
347,4433,396796.96,0.6
348,10125,112635.97,0.75
349,7487,170417.24,0.67
350,5533,471205.04,0.47
351,5386,226686.09,0.89
352,14212,240647.18,0.65
353,27170,166054.34,0.53
354,10636,120847.69,0.72
355,4381,200202.56,0.59
356,22525,155817.78,0.71
357,32890,373223.97,0.87
358,17134,409824.1,0.77
359,15959,254660.98,0.45
360,18608,332449.77,0.71
361,5256,117702.19,0.74
362,3708,91898.01,0.21
363,20591,208825.57,0.88
364,10575,291149.35,0.88
365,1082,416018.0,0.38
366,16080,50194.05,0.17
367,10593,399528.58,0.32
368,24909,276033.32,0.25
369,10944,268832.16,0.36
370,18947,107666.49,0.2
371,12017,35458.58,0.49
372,26561,318769.04,0.42
373,23071,313245.25,0.53
374,7592,493835.57,0.32
375,26448,185382.6,0.12
376,7565,155879.28,0.33
377,3489,93442.7,0.83
378,25404,457850.85,0.33
379,15859,124063.67,0.4
380,32517,230874.6,0.39
381,1790,102433.76,0.41
382,10590,280551.74,0.65
383,7128,488405.74,0.27
384,29741,40310.94,0.69
385,24745,399202.41,0.85
386,30491,245783.36,0.59
387,4469,226302.12,0.6
388,34318,136683.29,0.78
389,4416,212466.97,0.58
390,28971,441696.38,0.69
391,34095,365622.97,0.74
392,13731,180022.73,0.48
393,12387,50900.09,0.75
394,3921,292159.74,0.7
395,22178,270827.39,0.4
396,9354,122963.79,0.71
397,8727,21012.64,0.23
398,1312,81389.83,0.66
399,7777,85185.61,0.12
400,5067,459570.08,0.8
401,24309,217684.79,0.47
402,17446,155787.21,0.69
403,10989,37094.4,0.8
404,866,258541.31,0.51
405,34141,58981.2,0.57
406,13576,409272.9,0.65
407,674,387414.13,0.19
408,23110,77871.04,0.6
409,17184,266953.98,0.5
410,9395,109032.65,0.67
411,32532,369766.53,0.78
412,1007,145775.14,0.9
413,33664,275865.17,0.23
414,25750,138116.85,0.52
415,22871,221579.55,0.36
416,25104,333939.57,0.32
417,3184,298461.73,0.74
418,15854,382932.12,0.36
419,11772,342333.49,0.38
420,17571,341297.05,0.45
421,7153,404252.27,0.46
422,27876,162019.35,0.69
423,23424,29630.33,0.56
424,27722,340105.42,0.29
425,34739,80447.21,0.66
426,3273,207279.48,0.51
427,12948,415150.49,0.18
428,21233,152087.15,0.11
429,1164,110333.27,0.82
430,7871,373300.25,0.11
431,3726,483764.9,0.64
432,2037,271923.91,0.8
433,28992,202230.85,0.72
434,17640,474541.72,0.8
435,15349,420444.68,0.19
436,6142,24652.56,0.65
437,8007,112879.01,0.25
438,22914,149500.54,0.2
439,2405,181873.12,0.84
440,31404,297573.3,0.61
441,1534,462078.45,0.44
442,32448,25600.13,0.42
443,32978,78845.35,0.31
444,23305,357413.75,0.24
445,6753,346170.83,0.46
446,27278,474331.01,0.87
447,18573,424635.77,0.52
448,12008,154434.04,0.76
449,9354,148483.94,0.3
450,34992,274484.57,0.69
451,17400,168870.69,0.12
452,11476,493168.77,0.74
453,20868,44430.63,0.47
454,29917,180286.36,0.12
455,29068,150930.39,0.43
456,33161,350920.35,0.25
457,23237,376106.19,0.19
458,26439,204056.62,0.55
459,28187,446831.21,0.1
460,27252,338763.88,0.52
461,5569,268457.31,0.65
462,11297,33115.63,0.27
463,13798,268045.95,0.21
464,14839,181842.13,0.43
465,26380,283990.68,0.6
466,32112,401174.76,0.23
467,22042,32859.39,0.82
468,13028,88553.93,0.12
469,14705,114661.92,0.9
470,18681,471780.23,0.57
471,26118,456846.06,0.77
472,15856,244007.46,0.72
473,12609,465901.18,0.63
474,29315,55376.0,0.82
475,21735,199715.44,0.18
476,32771,306789.56,0.43
477,11647,382970.58,0.87
478,9438,279989.71,0.46
479,28828,221750.39,0.33
480,33506,133097.34,0.24
481,26730,20355.73,0.18
482,8344,407155.91,0.48
483,25513,405355.89,0.54
484,15179,151075.77,0.66
485,31355,212226.96,0.28
486,31903,176974.22,0.34
487,19261,81263.14,0.82
488,26456,413722.53,0.27
489,19179,312203.3,0.85
490,27181,305808.07,0.49
491,10840,474084.95,0.35
492,32057,498683.51,0.37
493,2090,225032.73,0.38
494,14649,382126.58,0.55
495,10623,270442.77,0.57
496,24044,410766.26,0.37
497,13073,301386.89,0.58
498,32101,163666.6,0.12
499,13961,339921.49,0.14
500,19132,393430.88,0.7
501,32747,499115.05,0.4
502,29107,484166.5,0.79
503,23497,143670.3,0.42
504,30931,10003.4,0.11
505,33433,244633.9,0.28
506,3334,165549.93,0.4
507,19390,194749.64,0.87
508,3871,213368.39,0.11
509,4500,152052.37,0.29
510,31941,491608.13,0.85
511,28338,386815.05,0.11
512,29950,256614.82,0.85
513,31426,121102.83,0.88
514,32012,192170.64,0.24
515,7602,489726.15,0.56
516,31162,413701.38,0.35
517,3405,106437.81,0.74
518,22559,216139.97,0.77
519,22365,17909.6,0.65
520,28585,452996.49,0.34
521,11612,415995.0,0.47
522,27198,350740.17,0.53
523,8908,68257.05,0.3
524,9938,208817.13,0.7
525,30204,359728.34,0.13
526,1176,41959.51,0.82
527,27418,366057.52,0.67
528,6554,151045.17,0.14
529,22022,83798.66,0.89
530,31037,193761.18,0.14
531,18499,400113.19,0.14
532,30069,309277.0,0.9
533,16458,411155.96,0.74
534,20680,473520.68,0.49
535,33876,404750.61,0.67
536,4608,471658.9,0.87
537,23034,439274.72,0.69
538,31759,385317.16,0.16
539,29395,470744.4,0.66
540,127,397454.4,0.15
541,4354,287547.17,0.87
542,9335,484323.02,0.25
543,13937,434072.38,0.42
544,33830,361827.31,0.87
545,30654,168352.62,0.13
546,22297,102080.94,0.66
547,14377,23205.24,0.69
548,34857,286917.25,0.28
549,11053,370123.07,0.72
550,5394,67078.98,0.41
551,13776,166641.74,0.76
552,4649,309585.32,0.73
553,19393,399553.77,0.18
554,19026,288287.83,0.48
555,28458,255984.89,0.34
556,22879,227986.29,0.2
557,22390,130140.28,0.2
558,33813,11541.45,0.68
559,11304,221491.4,0.82
560,9166,238251.99,0.63
561,28802,199760.59,0.77
562,15734,294390.13,0.14
563,21870,234202.77,0.12
564,22595,357410.53,0.49
565,12140,321345.73,0.69
566,27902,348745.19,0.61
567,32142,269218.5,0.3
568,14852,47816.78,0.36
569,1284,327071.99,0.8
570,11604,297341.57,0.75
571,18753,321770.48,0.69
572,9444,476018.42,0.74
573,18916,410769.91,0.84
574,17412,38855.66,0.21
575,20624,77736.65,0.39
576,2347,20082.06,0.79
577,3694,66127.82,0.15
578,19248,355393.15,0.63
579,13706,378915.6,0.53
580,5543,423524.58,0.84
581,29298,135915.55,0.2
582,10078,75100.47,0.87
583,23873,261921.84,0.57
584,31252,335095.8,0.41
585,1931,158538.42,0.76
586,20135,283155.41,0.8
587,25722,285640.81,0.33
588,16672,95128.36,0.25
589,2519,201874.98,0.54
590,30999,150744.54,0.41
591,2941,266717.02,0.81
592,20866,486791.94,0.61
593,9484,200336.07,0.68
594,22552,460484.04,0.56
595,18837,109645.98,0.39
596,1354,364388.13,0.45
597,32660,415260.83,0.37
598,18592,82153.33,0.49
599,20421,269965.78,0.73
600,21661,73197.17,0.73
601,25717,324586.52,0.9
602,11801,129995.17,0.57
603,28443,484888.78,0.84
604,26837,128306.03,0.85
605,26564,97003.28,0.13
606,6815,97010.63,0.5
607,14564,297572.87,0.3
608,26371,57752.07,0.37
609,28995,217246.17,0.63
610,1811,318689.42,0.71
611,28549,257206.54,0.19
612,28643,415920.07,0.31
613,30867,147192.31,0.73
614,11146,297574.58,0.61
615,34711,462804.44,0.69
616,27585,173870.0,0.64
617,2203,383033.71,0.73
618,28037,378930.85,0.21
619,9707,288697.75,0.74
620,117,46626.46,0.13
621,32116,176697.6,0.12
622,16776,210034.89,0.8
623,31753,204892.44,0.45
624,3586,283942.84,0.13
625,5210,393675.11,0.59
626,31871,151271.9,0.75
627,16649,327991.54,0.22
628,11433,321564.48,0.32
629,14868,334806.78,0.18
630,8904,457761.3,0.37
631,3415,57445.97,0.37
632,21115,375903.68,0.84
633,34721,336621.87,0.76
634,32866,191226.73,0.5
635,29054,168408.0,0.47
636,18765,91359.67,0.78
637,14276,446031.84,0.32
638,507,465050.47,0.44
639,29101,443998.74,0.32
640,9462,307830.28,0.1
641,22225,48135.92,0.18
642,33111,12798.1,0.15
643,31785,310310.74,0.89
644,26939,21407.83,0.64
645,33515,450909.03,0.59
646,24270,258734.44,0.85
647,34545,72592.82,0.33
648,17105,147441.64,0.77
649,20721,73163.6,0.11
650,5769,257746.46,0.4
651,3072,405880.3,0.13
652,10674,469554.41,0.79
653,24206,394888.13,0.6
654,2346,30851.76,0.71
655,32094,174562.65,0.3
656,25442,408027.55,0.76
657,22070,27946.61,0.16
658,4467,393562.81,0.69
659,1597,103084.72,0.22
660,31464,396182.23,0.17
661,9832,325365.77,0.51
662,22174,136091.88,0.16
663,3752,448467.62,0.7
664,32400,267805.04,0.27
665,28171,108404.61,0.45
666,22544,74589.69,0.53
667,29392,141230.36,0.71
668,25386,338671.33,0.7
669,7432,481512.05,0.36
670,23099,268525.91,0.41
671,3475,369294.92,0.41
672,25263,206684.62,0.67
673,25076,454586.27,0.28
674,24768,226940.67,0.53
675,24303,176999.92,0.81
676,10181,305561.7,0.89
677,3858,470812.12,0.77
678,26780,131795.57,0.35
679,13644,21004.69,0.46
680,20168,182382.56,0.6
681,692,186656.46,0.35
682,27980,443810.9,0.55
683,19361,339058.06,0.76
684,32732,425319.61,0.51
685,6578,187521.96,0.85
686,20411,19730.21,0.61
687,26037,47551.17,0.49
688,31684,227231.21,0.85
689,22759,318081.12,0.78
690,5190,203229.82,0.61
691,21631,232531.61,0.24
692,1483,122444.44,0.61
693,25949,199793.04,0.39
694,33752,32792.39,0.22
695,873,124346.75,0.64
696,25295,160931.34,0.46
697,9509,280427.67,0.26
698,7361,300269.49,0.3
699,16428,122154.29,0.61
700,16929,169624.42,0.7
701,26574,205630.9,0.72
702,18784,351031.34,0.82
703,7725,56809.66,0.67
704,2520,426510.43,0.27
705,29909,321641.78,0.51
706,7549,467660.89,0.52
707,10572,364287.98,0.85
708,29547,229408.34,0.66
709,28790,374351.9,0.35
710,22020,128099.07,0.43
711,33700,252986.49,0.15
712,22990,409238.32,0.23
713,2968,142288.37,0.28
714,14554,98383.97,0.78
715,18876,463863.48,0.77
716,4597,300002.99,0.18
717,29310,450733.29,0.4
718,18669,332437.22,0.21
719,26593,269793.1,0.34
720,25039,370554.53,0.89
721,12603,196181.37,0.86
722,5932,235889.26,0.73
723,931,67854.99,0.16
724,19416,430032.08,0.33
725,829,482745.26,0.72
726,14470,129039.18,0.84
727,30069,312987.16,0.67
728,23396,242386.9,0.29
729,20739,383719.48,0.57
730,33211,422962.96,0.21
731,15776,62935.94,0.44
732,33753,245516.64,0.58
733,9207,103159.92,0.15
734,14498,446813.95,0.83
735,22612,189427.49,0.47
736,845,59537.58,0.87
737,12543,134309.25,0.66
738,30957,384862.37,0.84
739,6343,226897.68,0.32
740,13001,343374.77,0.38
741,13448,347861.2,0.21
742,34283,380955.51,0.49
743,20272,405888.47,0.53
744,2907,159603.73,0.28
745,13679,129820.8,0.32
746,13296,346669.74,0.34
747,26555,130789.14,0.44
748,17518,80419.96,0.72
749,3247,364704.99,0.34
750,24977,151513.46,0.51
751,17616,321969.12,0.27
752,19910,478001.63,0.5
753,11006,65295.07,0.64
754,1922,24928.48,0.16
755,29563,208048.94,0.84
756,34221,69969.76,0.47
757,10272,192157.92,0.54
758,337,283574.13,0.19
759,10876,320951.23,0.52
760,19267,446804.78,0.22
761,21958,407030.38,0.59
762,29511,347508.07,0.86
763,16084,386649.06,0.45
764,10217,253873.64,0.24
765,14741,214017.67,0.16
766,27308,262236.0,0.73
767,26062,355314.71,0.71
768,9885,231476.51,0.21
769,12254,14030.06,0.81
770,5109,286326.93,0.13
771,14721,485168.86,0.79
772,22686,152610.18,0.63
773,26453,57337.95,0.7
774,21122,179545.96,0.32
775,29027,92855.57,0.66
776,17700,307678.76,0.24
777,31501,30751.64,0.28
778,32534,366256.31,0.47
779,33894,403312.22,0.61
780,6272,84137.0,0.56
781,6662,192254.04,0.15
782,33567,157626.66,0.84
783,26700,42931.05,0.68
784,34370,301929.38,0.84
785,29970,118692.62,0.89
786,23821,314935.6,0.88
787,18200,372900.28,0.27
788,20423,96290.91,0.3
789,29455,136205.21,0.75
790,30609,367657.86,0.42
791,28505,173923.98,0.9
792,22979,409034.03,0.75
793,17894,245193.78,0.3
794,8963,423305.45,0.88
795,4633,41031.02,0.24
796,4344,335206.38,0.2
797,33378,354612.37,0.3
798,2773,138301.15,0.47
799,2864,359305.04,0.37
800,11510,475823.41,0.63
801,3493,274638.03,0.8
802,26902,193905.39,0.57
803,14847,499791.33,0.74
804,2444,264936.44,0.36
805,30237,352852.18,0.45
806,6540,332087.46,0.61
807,31857,366517.19,0.57
808,6415,48034.22,0.26
809,21974,30552.41,0.27
810,13351,247221.19,0.3
811,16896,316556.57,0.62
812,2866,48977.93,0.29
813,26229,40861.48,0.68
814,4953,295943.86,0.28
815,24741,203318.63,0.46
816,2600,356748.94,0.44
817,12370,461541.76,0.16
818,32690,358679.43,0.47
819,34091,128042.44,0.83
820,32780,238284.12,0.12
821,15258,371814.05,0.58
822,19194,218010.99,0.3
823,24922,446141.28,0.22
824,22398,359977.13,0.12
825,6253,419547.17,0.4
826,21862,229830.19,0.47
827,5767,389160.2,0.69
828,30864,266598.98,0.78
829,2078,17253.39,0.23
830,19015,321802.84,0.13
831,8524,178153.25,0.73
832,21233,120246.88,0.77
833,30638,236143.42,0.7
834,25511,317909.39,0.62
835,10324,228327.82,0.53
836,30133,31257.49,0.58
837,11881,400204.12,0.27
838,11101,412244.13,0.73
839,7402,12077.76,0.77
840,14722,237443.08,0.38
841,17103,122598.39,0.22
842,16488,30465.76,0.32
843,5506,446388.31,0.11
844,6158,392725.17,0.3
845,15941,13935.79,0.8
846,32520,320620.68,0.66
847,22841,117964.28,0.86
848,33433,48919.54,0.57
849,19882,154499.38,0.74
850,5871,13820.24,0.66
851,32841,68232.14,0.41
852,13528,247630.08,0.41
853,1455,447560.74,0.22
854,21956,442004.54,0.87
855,20889,18762.81,0.66
856,2821,173755.31,0.48
857,27450,327370.15,0.31
858,8497,473919.06,0.57
859,22690,122645.89,0.6
860,17029,406988.38,0.67
861,12575,286301.83,0.21
862,18766,277220.6,0.62
863,32018,80014.43,0.84
864,27984,284937.0,0.52
865,29674,421987.55,0.49
866,34819,382531.28,0.88
867,11113,280548.53,0.89
868,31844,175666.96,0.51
869,27797,30970.38,0.36
870,3055,251127.18,0.67
871,8269,84426.43,0.13
872,28639,287515.14,0.59
873,22413,360083.52,0.6
874,10276,321641.43,0.38
875,18186,15760.35,0.81
876,5826,427907.13,0.15
877,30420,410222.58,0.64
878,24021,54720.6,0.67
879,34278,334669.36,0.44
880,18381,29368.28,0.75
881,4342,302630.78,0.25
882,20755,17963.54,0.65
883,21590,274453.72,0.74
884,30463,151383.32,0.64
885,31369,152455.01,0.17
886,9895,183293.2,0.19
887,27544,42498.48,0.39
888,12830,381191.04,0.11
889,14464,45484.01,0.42
890,11484,221210.96,0.64
891,27816,20843.21,0.17
892,32151,405814.94,0.27
893,14531,310194.78,0.49
894,1205,74088.42,0.7
895,16799,281305.84,0.36
896,28629,301817.5,0.32
897,26007,174167.79,0.15
898,26889,179477.73,0.29
899,26262,51826.66,0.87
900,28008,197608.33,0.32
901,23492,491080.98,0.7
902,16849,118443.45,0.83
903,9907,209083.28,0.89
904,3221,40608.17,0.88
905,7039,173615.67,0.83
906,20929,140233.26,0.78
907,27235,327129.05,0.26
908,18890,240172.24,0.39
909,8267,79641.39,0.37
910,11684,364399.18,0.46
911,6227,358736.47,0.48
912,34160,307322.78,0.32
913,18612,421555.97,0.77
914,13050,175349.61,0.86
915,26293,204280.16,0.29
916,15843,326180.57,0.39
917,25718,23537.59,0.86
918,13637,409898.98,0.12
919,5490,452147.46,0.81
920,26920,348649.43,0.89
921,22666,149356.43,0.33
922,23724,59118.67,0.17
923,2204,219911.29,0.3
924,9972,302548.87,0.25
925,11943,46979.47,0.4
926,27996,244997.77,0.27
927,12615,377276.94,0.13
928,5821,174448.01,0.53
929,19361,174069.53,0.57
930,26649,409999.88,0.57
931,18108,464007.05,0.74
932,21096,367468.85,0.5
933,32292,12738.13,0.51
934,32862,141589.95,0.23
935,34979,57241.09,0.19
936,32748,491529.87,0.35
937,29348,106613.18,0.42
938,3811,222208.23,0.6
939,9083,25892.95,0.54
940,19776,131755.79,0.29
941,33603,23478.28,0.33
942,3885,26735.14,0.17
943,14736,339757.31,0.68
944,31652,127367.19,0.22
945,23762,440756.87,0.24
946,3771,279037.47,0.17
947,10484,60947.61,0.58
948,34317,260128.21,0.55
949,4841,160809.27,0.49
950,26085,254764.78,0.59
951,26946,310149.51,0.85
952,3729,162896.73,0.71
953,22623,402907.71,0.87
954,9474,243328.28,0.23
955,15167,178831.57,0.84
956,9744,414336.38,0.65
957,5233,35933.39,0.29
958,20079,105037.25,0.18
959,33668,277989.15,0.61
960,20408,261100.82,0.53
961,5198,32029.26,0.88
962,29877,126052.41,0.87
963,26229,318097.35,0.78
964,19111,422481.78,0.8
965,29053,367241.44,0.75
966,32739,236564.82,0.3
967,19716,298484.68,0.85
968,25046,485516.97,0.83
969,5484,320548.52,0.29
970,4335,345083.95,0.3
971,9343,174243.72,0.72
972,12126,177036.62,0.38
973,3732,212566.22,0.38
974,1203,255867.34,0.34
975,18120,487829.75,0.86
976,12084,272929.82,0.57
977,13401,474744.77,0.74
978,34942,470198.44,0.66
979,15426,424794.39,0.46
980,9391,375763.23,0.9
981,12951,36258.29,0.6
982,17201,29509.07,0.73
983,9153,135111.27,0.31
984,3886,448825.52,0.66
985,3265,321130.76,0.81
986,29180,301066.79,0.68
987,6934,179169.21,0.42
988,2343,67203.45,0.86
989,20019,431107.16,0.32
990,2164,10835.79,0.66
991,15598,63902.77,0.42
992,21088,275055.47,0.13
993,14917,153882.73,0.8
994,11779,414845.27,0.78
995,6955,382846.04,0.15
996,32586,176903.53,0.12
997,22323,70683.08,0.58
